dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
hospital,ProviderNumber,1.5,0.9,1000.0,MAX,0.534585
hospital,ProviderNumber,2.0,0.025,1000.0,MAX,0.518262
hospital,ProviderNumber,2.0,0.05,1000.0,MAX,0.544490
hospital,ProviderNumber,2.0,0.1,1000.0,MAX,0.532338
hospital,ProviderNumber,2.0,0.2,1000.0,MAX,0.541368
hospital,ProviderNumber,2.0,0.3,1000.0,MAX,0.582833
hospital,ProviderNumber,2.0,0.4,1000.0,MAX,0.508914
hospital,ProviderNumber,2.0,0.5,1000.0,MAX,0.677361
hospital,ProviderNumber,2.0,0.6,1000.0,MAX,0.507175
hospital,ProviderNumber,2.0,0.7,1000.0,MAX,0.532906
hospital,ProviderNumber,2.0,0.8,1000.0,MAX,0.544656
hospital,ProviderNumber,2.0,0.9,1000.0,MAX,0.533665
hospital,ProviderNumber,2.5,0.025,1000.0,MAX,0.531945
hospital,ProviderNumber,2.5,0.05,1000.0,MAX,0.542211
hospital,ProviderNumber,2.5,0.1,1000.0,MAX,0.512979
hospital,ProviderNumber,2.5,0.2,1000.0,MAX,0.546426
hospital,ProviderNumber,2.5,0.3,1000.0,MAX,0.538448
hospital,ProviderNumber,2.5,0.4,1000.0,MAX,0.528942
hospital,ProviderNumber,2.5,0.5,1000.0,MAX,0.540121
hospital,ProviderNumber,2.5,0.6,1000.0,MAX,0.519547
hospital,ProviderNumber,2.5,0.7,1000.0,MAX,0.554986
hospital,ProviderNumber,2.5,0.8,1000.0,MAX,0.795591
hospital,ProviderNumber,2.5,0.9,1000.0,MAX,0.777166
hospital,ProviderNumber,5.0,0.025,1000.0,MAX,0.762967
hospital,ProviderNumber,5.0,0.05,1000.0,MAX,0.787392
hospital,ProviderNumber,5.0,0.1,1000.0,MAX,0.785165
hospital,ProviderNumber,5.0,0.2,1000.0,MAX,0.786014
hospital,ProviderNumber,5.0,0.3,1000.0,MAX,0.780207
hospital,ProviderNumber,5.0,0.4,1000.0,MAX,0.805720
hospital,ProviderNumber,5.0,0.5,1000.0,MAX,1.107545
hospital,ProviderNumber,5.0,0.6,1000.0,MAX,0.783660
hospital,ProviderNumber,5.0,0.7,1000.0,MAX,0.784624
hospital,ProviderNumber,5.0,0.8,1000.0,MAX,0.770880
hospital,ProviderNumber,5.0,0.9,1000.0,MAX,0.796792
hospital,ProviderNumber,10.0,0.025,1000.0,MAX,0.772160
hospital,ProviderNumber,10.0,0.05,1000.0,MAX,0.780797
hospital,ProviderNumber,10.0,0.1,1000.0,MAX,0.819601
hospital,ProviderNumber,10.0,0.2,1000.0,MAX,1.026493
hospital,ProviderNumber,10.0,0.3,1000.0,MAX,0.767321
hospital,ProviderNumber,10.0,0.4,1000.0,MAX,0.838962
hospital,ProviderNumber,10.0,0.5,1000.0,MAX,0.789563
hospital,ProviderNumber,10.0,0.6,1000.0,MAX,0.832191
hospital,ProviderNumber,10.0,0.7,1000.0,MAX,0.914506
hospital,ProviderNumber,10.0,0.8,1000.0,MAX,0.808026
hospital,ProviderNumber,10.0,0.9,1000.0,MAX,0.825498
