dataset,target,hypergraph_mode,leakage_method,tau,mask,mask_size,inference_zone_size,leakage,utility
airport,type,MAX,greedy_disjoint,,home_link|keywords,2,6,0.3807484272233449,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,home_link|municipality,2,6,0.3950300846957072,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,home_link|scheduled_service,2,6,0.29995590873541556,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,iso_country|keywords,2,6,0.5190731258601999,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,iso_country|municipality,2,6,0.5301646324266205,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,iso_country|scheduled_service,2,6,0.3066569330312926,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,keywords|municipality,2,6,0.39428424024779074,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,keywords|scheduled_service,2,6,0.2997943909302291,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,municipality|scheduled_service,2,6,0.0513451968064641,-0.13467853013979741
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country,3,6,0.4360810306103461,-0.5
airport,type,MAX,greedy_disjoint,,continent|home_link|keywords,3,6,0.30979544820331284,-0.5
airport,type,MAX,greedy_disjoint,,continent|home_link|municipality,3,6,0.3257134780121461,-0.5
airport,type,MAX,greedy_disjoint,,continent|home_link|scheduled_service,3,6,0.29995590873541556,-0.5
airport,type,MAX,greedy_disjoint,,continent|iso_country|keywords,3,6,0.435385796315625,-0.5
airport,type,MAX,greedy_disjoint,,continent|iso_country|municipality,3,6,0.4484073646338038,-0.5
airport,type,MAX,greedy_disjoint,,continent|iso_country|scheduled_service,3,6,0.3066569330312926,-0.5
airport,type,MAX,greedy_disjoint,,continent|keywords|municipality,3,6,0.32488217575065004,-0.5
airport,type,MAX,greedy_disjoint,,continent|keywords|scheduled_service,3,6,0.2997943909302291,-0.5
airport,type,MAX,greedy_disjoint,,continent|municipality|scheduled_service,3,6,0.0513451968064641,-0.3013451968064641
