OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'OriginStateName', 'FlightDate'} Leakage 0.9336790380856045
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'OriginWac', 'FlightDate'} Leakage 0.9346866236160206
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9079073483105976
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8793537176929285
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.905543189207007
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginStateName', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9026313632600624
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8826346321331571
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'OriginState', 'FlightDate'} Leakage 0.9069089950192433
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'OriginStateFips', 'FlightDate'} Leakage 0.9102124676234485
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'OriginStateName', 'FlightDate'} Leakage 0.9078304489064174
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'OriginWac', 'FlightDate'} Leakage 0.9071887713802288
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9070663295475877
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginStateName', 'OriginState', 'FlightDate'} Leakage 0.9067276401049903
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9044057764287822
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.9088293175551538
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9102560389446909
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.9019206173387074
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayofMonth', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8971428910642151
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8729517515223517
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8948526300454491
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginStateName', 'OriginCityMarketID', 'FlightDate'} Leakage 0.88708232365229
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8725801684595009
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayofMonth', 'OriginState', 'FlightDate'} Leakage 0.9111110166536593
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayofMonth', 'OriginStateFips', 'FlightDate'} Leakage 0.9064339885937702
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayofMonth', 'OriginStateName', 'FlightDate'} Leakage 0.9062062102572315
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayofMonth', 'OriginWac', 'FlightDate'} Leakage 0.9052566714540045
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9085435254966797
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginStateName', 'OriginState', 'FlightDate'} Leakage 0.9138889629774157
