method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsd
delgum,airport,home_link,0.003264904022216797,0.00044083595275878906,0.0002300739288330078,0.002593994140625,0.05010955345870127,0.22337399647872114,-0.3001095534587013,3,3,458,6
delgum,airport,home_link,0.002887725830078125,0.0006389617919921875,0.0001628398895263672,0.0020859241485595703,0.22337399647872114,0.22337399647872114,0.026626003521278863,1,0,458,6
delgum,airport,home_link,0.003340005874633789,0.0007309913635253906,0.00028395652770996094,0.0023250579833984375,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,458,6
delgum,airport,home_link,0.004173994064331055,0.0002791881561279297,0.00014591217041015625,0.0037488937377929688,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,458,6
delgum,airport,home_link,0.0027208328247070312,0.000453948974609375,0.00027179718017578125,0.001995086669921875,0.05853885744745513,0.22337399647872114,-0.47520552411412176,6,4,458,6
delgum,airport,home_link,0.0028188228607177734,0.0006349086761474609,0.0002040863037109375,0.001979827880859375,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,458,6
delgum,airport,home_link,0.0028562545776367188,0.0006840229034423828,0.0002970695495605469,0.001875162124633789,0.22337399647872114,0.22337399647872114,-0.47337399647872114,1,3,458,6
delgum,airport,home_link,0.0036389827728271484,0.0007450580596923828,0.0003409385681152344,0.0025529861450195312,0.06016840572859605,0.22337399647872114,-0.31016840572859605,4,3,458,6
delgum,airport,home_link,0.007895708084106445,0.0008199214935302734,0.00027489662170410156,0.00680088996887207,0.0,0.22337399647872114,-0.5833333333333334,-1,5,458,6
delgum,airport,home_link,0.003536701202392578,0.0005679130554199219,0.00031185150146484375,0.0026569366455078125,0.05010955345870127,0.22337399647872114,-0.3001095534587013,3,3,458,6
delgum,airport,home_link,0.003141641616821289,0.0006458759307861328,0.00024175643920898438,0.002254009246826172,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,458,6
delgum,airport,home_link,0.002948760986328125,0.0007748603820800781,0.0003120899200439453,0.0018618106842041016,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,458,6
delgum,airport,home_link,0.002165079116821289,0.00022602081298828125,0.00010395050048828125,0.0018351078033447266,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,458,6
delgum,airport,home_link,0.0037431716918945312,0.0006692409515380859,0.00033593177795410156,0.0027379989624023438,0.05010955345870127,0.22337399647872114,-0.4667762201253679,6,4,458,6
delgum,airport,home_link,0.0021932125091552734,0.00021982192993164062,0.00015115737915039062,0.0018222332000732422,0.003306804705818678,0.22337399647872114,-0.586640138039152,4,5,458,6
delgum,airport,home_link,0.0032329559326171875,0.0007011890411376953,0.00034880638122558594,0.0021829605102539062,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,458,6
delgum,airport,home_link,0.002129077911376953,0.00015878677368164062,0.0001533031463623047,0.0018169879913330078,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,458,6
delgum,hospital,ProviderNumber,0.012439966201782227,0.003504037857055664,0.006971120834350586,0.0019648075103759766,0.14540885463656628,0.6623992294064142,-0.7954088546365663,275,9,1823,10
delgum,hospital,ProviderNumber,0.0024051666259765625,0.0003941059112548828,0.00045108795166015625,0.0015599727630615234,0.5860822545816282,0.6623992294064142,-0.3,5,3,1823,10
delgum,hospital,ProviderNumber,0.012330770492553711,0.0003771781921386719,0.009979724884033203,0.001973867416381836,0.0002521225070323263,0.6623992294064142,-0.6502521225070323,426,9,1823,10
delgum,hospital,ProviderNumber,0.0025217533111572266,0.000392913818359375,0.00041604042053222656,0.001712799072265625,0.5422684587046469,0.6623992294064142,-0.3,5,3,1823,10
delgum,hospital,ProviderNumber,0.002378225326538086,0.0004019737243652344,0.00041413307189941406,0.0015621185302734375,0.6086948858179753,0.6623992294064142,-0.3,7,3,1823,10
delgum,hospital,ProviderNumber,0.0045659542083740234,0.0012080669403076172,0.0006499290466308594,0.002707958221435547,0.6623992294064142,0.6623992294064142,0.0,4,0,1823,10
delgum,hospital,ProviderNumber,0.005675315856933594,0.001168966293334961,0.001081228256225586,0.003425121307373047,0.5206608604337979,0.6623992294064142,-0.4,15,4,1823,10
delgum,hospital,ProviderNumber,0.0045850276947021484,0.0010128021240234375,0.0014121532440185547,0.0021600723266601562,0.24315756576632586,0.6623992294064142,-0.49315756576632586,37,5,1823,10
delgum,hospital,ProviderNumber,0.01396036148071289,0.0011382102966308594,0.010877132415771484,0.0019450187683105469,0.385599188513301,0.6623992294064142,-0.8,316,8,1823,10
delgum,hospital,ProviderNumber,0.0024580955505371094,0.00036597251892089844,0.0002510547637939453,0.0018410682678222656,0.6623992294064142,0.6623992294064142,-0.1,4,1,1823,10
delgum,hospital,ProviderNumber,0.009183645248413086,0.003451824188232422,0.0013430118560791016,0.0043888092041015625,0.5202376749670268,0.6623992294064142,-0.4,17,4,1823,10
delgum,hospital,ProviderNumber,0.005604982376098633,0.001432180404663086,0.0011529922485351562,0.0030198097229003906,0.5202376749670268,0.6623992294064142,-0.3,9,3,1823,10
delgum,hospital,ProviderNumber,0.013820886611938477,0.0013997554779052734,0.010506153106689453,0.00191497802734375,0.21940735109689347,0.6623992294064142,-0.7694073510968935,418,8,1823,10
delgum,hospital,ProviderNumber,0.010677814483642578,0.0010478496551513672,0.006217002868652344,0.003412961959838867,0.6623992294064142,0.6623992294064142,-0.1,4,1,1823,10
delgum,hospital,ProviderNumber,0.004551887512207031,0.001277923583984375,0.0007920265197753906,0.0024819374084472656,0.6090400455538584,0.6623992294064142,-0.1,4,1,1823,10
delgum,hospital,ProviderNumber,0.006033182144165039,0.0025069713592529297,0.0007009506225585938,0.0028252601623535156,0.0,0.6623992294064142,-0.65,-1,9,1823,10
delgum,hospital,ProviderNumber,0.007147789001464844,0.0012028217315673828,0.003924131393432617,0.0020208358764648438,0.46992211475481305,0.6623992294064142,-0.6,51,6,1823,10
delgum,hospital,ProviderNumber,0.0062825679779052734,0.0020318031311035156,0.0026710033416748047,0.0015797615051269531,0.24315756576632586,0.6623992294064142,-0.5931575657663258,74,6,1823,10
delgum,hospital,ProviderNumber,0.00516200065612793,0.001210927963256836,0.0019178390502929688,0.002033233642578125,0.46992211475481305,0.6623992294064142,-0.6,22,6,1823,10
delgum,hospital,ProviderNumber,0.006429910659790039,0.001194000244140625,0.003304004669189453,0.001931905746459961,0.24175913958548945,0.6623992294064142,-0.5917591395854894,80,6,1823,10
delgum,hospital,ProviderNumber,0.01420903205871582,0.001127004623413086,0.01102304458618164,0.0020589828491210938,0.0002521225070323263,0.6623992294064142,-0.6502521225070323,426,9,1823,10
delgum,hospital,ProviderNumber,0.004419088363647461,0.0009531974792480469,0.0018470287322998047,0.0016188621520996094,0.24175913958548945,0.6623992294064142,-0.49175913958548945,44,5,1823,10
delgum,hospital,ProviderNumber,0.006436824798583984,0.0009799003601074219,0.0033538341522216797,0.002103090286254883,0.385599188513301,0.6623992294064142,-0.6,93,6,1823,10
delgum,hospital,ProviderNumber,0.0049817562103271484,0.0008771419525146484,0.0019037723541259766,0.0022008419036865234,0.5206608604337979,0.6623992294064142,-0.5,28,5,1823,10
