method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delgum,hospital,ProviderNumber,0.01007986068725586,0.0001499652862548828,0.007654905319213867,0.0022749900817871094,0.5422684587046469,,-0.09514303215296106,3,6,3,6,3,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.007524013519287109,12,11,0.009929895401000977
delgum,hospital,ProviderNumber,0.0472712516784668,0.0001323223114013672,0.04476284980773926,0.002376079559326172,0.21940735109689347,,-0.020526968530399654,180,180,180,180,10,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.04320788383483887,12,11,0.04713892936706543
delgum,hospital,ProviderNumber,0.0075109004974365234,0.0001308917999267578,0.004880189895629883,0.002499818801879883,0.6623992294064142,,-0.14396132848981022,0,4,0,4,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.004789113998413086,12,11,0.007380008697509766
delgum,hospital,ProviderNumber,0.13203024864196777,0.00012803077697753906,0.12881708145141602,0.0030851364135742188,0.029167650999047168,,0.021118851581947783,426,426,426,426,9,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.12371516227722168,12,11,0.13190221786499023
delgum,hospital,ProviderNumber,0.034819841384887695,0.00012803077697753906,0.03220105171203613,0.0024907588958740234,0.5107698719387217,,-0.09566470040551232,48,50,48,50,6,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.031404972076416016,12,11,0.034691810607910156
delgum,hospital,ProviderNumber,0.033805131912231445,0.00013399124145507812,0.031080007553100586,0.0025911331176757812,0.46992211475481305,,-0.08707690495393158,36,38,36,38,9,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.030539989471435547,12,11,0.03367114067077637
delgum,hospital,ProviderNumber,0.06414413452148438,0.00013327598571777344,0.061482906341552734,0.002527952194213867,0.21940735109689347,,-0.020526968530399654,403,403,403,403,10,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.057237863540649414,12,11,0.0640108585357666
delgum,hospital,ProviderNumber,0.05660104751586914,0.00013208389282226562,0.05341696739196777,0.0030519962310791016,0.24315756576632586,,-0.027467647864261355,219,220,219,220,11,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.050667762756347656,12,11,0.056468963623046875
delgum,hospital,ProviderNumber,0.018347978591918945,0.00013017654418945312,0.015993833541870117,0.002223968505859375,0.46992211475481305,,-0.07824227353317847,14,16,14,16,5,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.015720844268798828,12,11,0.018217802047729492
delgum,hospital,ProviderNumber,0.003017902374267578,0.00012183189392089844,0.0012710094451904297,0.00162506103515625,0.6623992294064142,,-0.08769453339087924,0,4,0,4,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.001219034194946289,12,11,0.0028960704803466797
delgum,hospital,ProviderNumber,0.002974271774291992,0.00011610984802246094,0.0012450218200683594,0.0016131401062011719,0.6623992294064142,,-0.08769453339087924,0,4,0,4,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.001194000244140625,12,11,0.0028581619262695312
delgum,hospital,ProviderNumber,0.07996010780334473,0.00011396408081054688,0.07658028602600098,0.003265857696533203,0.24315756576632586,,-0.026034234163061214,219,220,219,220,10,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.07341599464416504,12,11,0.07984614372253418
delgum,hospital,ProviderNumber,0.05042910575866699,0.00014281272888183594,0.04724311828613281,0.0030431747436523438,0.26187931623708605,,-0.024194355336681746,72,73,72,73,7,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.04624199867248535,12,11,0.050286293029785156
delgum,hospital,ProviderNumber,0.007323026657104492,0.00013208389282226562,0.004648923873901367,0.0025420188903808594,0.6623992294064142,,-0.14396132848981022,0,4,0,4,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.004564046859741211,12,11,0.0071909427642822266
delgum,hospital,ProviderNumber,0.08814692497253418,0.00013017654418945312,0.08508491516113281,0.002931833267211914,0.14559895790530974,,-0.00431356382911879,275,275,275,275,10,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0822908878326416,12,11,0.08801674842834473
delgum,hospital,ProviderNumber,0.002790212631225586,0.0001361370086669922,0.0013070106506347656,0.0013470649719238281,0.6623992294064142,,-0.08769453339087924,0,4,0,4,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.001255035400390625,12,11,0.0026540756225585938
delgum,hospital,ProviderNumber,0.005510091781616211,0.0001289844512939453,0.0028181076049804688,0.002562999725341797,0.6623992294064142,,-0.12989462971507748,0,4,0,4,1,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0027489662170410156,12,11,0.005381107330322266
delgum,hospital,ProviderNumber,0.007887125015258789,0.00011992454528808594,0.005320072174072266,0.0024471282958984375,0.46992211475481305,,-0.05615569498129568,4,6,4,6,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.005219221115112305,12,11,0.007767200469970703
delgum,hospital,ProviderNumber,0.007498979568481445,0.00012111663818359375,0.005084037780761719,0.002293825149536133,0.5422684587046469,,-0.08560695837597454,2,5,2,5,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.00498199462890625,12,11,0.0073778629302978516
delgum,hospital,ProviderNumber,0.11957502365112305,0.00012493133544921875,0.11673593521118164,0.0027141571044921875,0.21940735109689347,,-0.02200536369877675,403,403,403,403,11,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.11259579658508301,12,11,0.11945009231567383
delgum,hospital,ProviderNumber,0.007721662521362305,0.0001418590545654297,0.0051310062408447266,0.0024487972259521484,0.5422684587046469,,-0.08560695837597454,2,5,2,5,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.005034923553466797,12,11,0.007579803466796875
delgum,hospital,ProviderNumber,0.07118678092956543,0.00013208389282226562,0.0680849552154541,0.0029697418212890625,0.21940735109689347,,-0.01875289432834714,403,403,403,403,9,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.06360197067260742,12,11,0.07105469703674316
delgum,hospital,ProviderNumber,0.052213191986083984,0.00014400482177734375,0.0476222038269043,0.004446983337402344,0.385599188513301,,-0.05750117758707701,92,93,92,93,7,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.04617595672607422,12,11,0.05206918716430664
delgum,adult,education,0.015503883361816406,0.0001888275146484375,0.012813091278076172,0.002501964569091797,0.4597782854988285,,-0.06353449565946681,4,9,4,9,3,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.012627840042114258,12,11,0.015315055847167969
delgum,adult,education,0.11160421371459961,0.00019097328186035156,0.10675501823425293,0.004658222198486328,0.06309812667204373,,0.01713941794337763,308,309,308,309,8,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.10378813743591309,12,11,0.11141324043273926
delgum,adult,education,0.18848896026611328,0.00019407272338867188,0.18352794647216797,0.004766941070556641,0.07052515981987229,,0.015650678261817142,378,379,378,379,8,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.17884397506713867,12,11,0.1882948875427246
delgum,adult,education,0.18643522262573242,0.00018405914306640625,0.18182802200317383,0.0044231414794921875,0.0727517338096022,,0.015202388418966681,613,613,613,613,8,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.17544102668762207,12,11,0.18625116348266602
delgum,adult,education,0.003983974456787109,0.00020194053649902344,0.0019969940185546875,0.0017850399017333984,0.49122554744404323,,0.02031058092971086,0,7,0,7,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0019221305847167969,12,11,0.003782033920288086
delgum,adult,education,0.017904043197631836,0.0001800060272216797,0.014646053314208984,0.003077983856201172,0.2726821726489278,,-0.004172110283631389,4,10,4,10,3,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.014393091201782227,12,11,0.017724037170410156
delgum,adult,education,0.022081851959228516,0.00017595291137695312,0.01920294761657715,0.002702951431274414,0.396029780856501,,-0.04924624927977869,4,9,4,9,4,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.018950939178466797,12,11,0.021905899047851562
delgum,adult,education,0.12410807609558105,0.00017404556274414062,0.11885809898376465,0.005075931549072266,0.06564363968476405,,0.019874602387190885,215,217,215,217,7,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.11520099639892578,12,11,0.12393403053283691
delgum,adult,education,0.3679349422454834,0.0002067089080810547,0.3633232116699219,0.004405021667480469,0.0,,0.0224538485018243,0,-1,0,-1,11,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.3632171154022217,12,11,0.36772823333740234
delgum,adult,education,0.14370489120483398,0.00019884109497070312,0.13987517356872559,0.0036308765411376953,0.05425711188419935,,0.02218236838849873,364,364,364,364,7,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.1354961395263672,12,11,0.14350605010986328
delgum,adult,education,0.04155707359313965,0.0002040863037109375,0.03707599639892578,0.00427699089050293,0.19518320639417042,,0.00018152232433813614,56,58,56,58,5,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.03636312484741211,12,11,0.04135298728942871
delgum,adult,education,0.05430006980895996,0.00019693374633789062,0.05014204978942871,0.003961086273193359,0.10862450072800278,,0.020230301724804636,48,51,48,51,5,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.04903101921081543,12,11,0.05410313606262207
delgum,adult,education,0.07518196105957031,0.0001952648162841797,0.07148575782775879,0.0035009384155273438,0.07168107212654629,,0.022785676318009283,187,187,187,187,6,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.06975173950195312,12,11,0.07498669624328613
delgum,adult,education,0.061255693435668945,0.0002009868621826172,0.05690479278564453,0.004149913787841797,0.330605692346426,,-0.039047346520973546,74,75,74,75,6,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.055876970291137695,12,11,0.06105470657348633
delgum,adult,education,0.003593921661376953,0.000186920166015625,0.0019669532775878906,0.0014400482177734375,0.49122554744404323,,0.02031058092971086,0,7,0,7,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0018930435180664062,12,11,0.003407001495361328
delgum,adult,education,0.009990215301513672,0.00017404556274414062,0.0074651241302490234,0.002351045608520508,0.2726821726489278,,0.010980344452849282,1,7,1,7,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.007336139678955078,12,11,0.009816169738769531
delgum,adult,education,0.003789186477661133,0.0001728534698486328,0.0019040107727050781,0.0017123222351074219,0.49122554744404323,,0.02031058092971086,0,7,0,7,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0018301010131835938,12,11,0.0036163330078125
delgum,adult,education,0.23032903671264648,0.0001900196075439453,0.22568392753601074,0.004455089569091797,0.0,,0.024347787895763695,0,-1,0,-1,10,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.22557592391967773,12,11,0.23013901710510254
delgum,adult,education,0.030556917190551758,0.00019097328186035156,0.026471853256225586,0.0038940906524658203,0.07568757850743024,,0.03515016710301053,36,38,36,38,4,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.02598881721496582,12,11,0.030365943908691406
