method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delgum,hospital,ProviderNumber,0.09928393363952637,0.00013303756713867188,0.09619498252868652,0.002955913543701172,0.00122264872342992,,-0.41727799102838165,852,426,852,426,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0916290283203125,12,11
delgum,hospital,ProviderNumber,0.08996391296386719,0.0001289844512939453,0.08643293380737305,0.0034019947052001953,0.3814931526960016,,-0.5657465763480007,548,275,548,275,9,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.08329296112060547,12,11
delgum,hospital,ProviderNumber,0.11133408546447754,0.0001220703125,0.1071310043334961,0.004081010818481445,0.42291810894456583,,-0.6281257211389496,566,284,566,284,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.10338521003723145,12,11
delgum,hospital,ProviderNumber,0.00536799430847168,0.0001232624053955078,0.002608776092529297,0.002635955810546875,0.6623992294064142,,-0.37286628136987376,0,4,0,4,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.002544879913330078,12,11
delgum,hospital,ProviderNumber,0.008796453475952148,0.00011968612670898438,0.0066449642181396484,0.0020318031311035156,0.4222525504439629,,-0.33612627522198146,8,6,8,6,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.006554126739501953,12,11
delgum,hospital,ProviderNumber,0.05938124656677246,0.0001251697540283203,0.056307077407836914,0.0029489994049072266,0.0,,-0.5,0,-1,0,-1,12,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.056234121322631836,12,11
delgum,hospital,ProviderNumber,0.1148371696472168,0.0001232624053955078,0.1112368106842041,0.0034770965576171875,0.38238087639754814,,-0.6078571048654408,550,275,550,275,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.10885190963745117,12,11
delgum,hospital,ProviderNumber,0.06998443603515625,0.0001270771026611328,0.06686210632324219,0.0029952526092529297,0.14547774495716492,,-0.48940553914524915,852,426,852,426,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.06262016296386719,12,11
delgum,hospital,ProviderNumber,0.0435330867767334,0.00011897087097167969,0.040405988693237305,0.003008127212524414,0.546472623708167,,-0.6482363118540835,152,78,152,78,9,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.03937697410583496,12,11
delgum,hospital,ProviderNumber,0.002919912338256836,0.0001220703125,0.0011818408966064453,0.0016160011291503906,0.6623992294064142,,-0.3311996147032071,0,4,0,4,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0011320114135742188,12,11
delgum,hospital,ProviderNumber,0.006479024887084961,0.0001289844512939453,0.00347900390625,0.0028710365295410156,0.6623992294064142,,-0.4145329480365404,0,4,0,4,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.003414154052734375,12,11
delgum,hospital,ProviderNumber,0.040289878845214844,0.00011801719665527344,0.03750872611999512,0.002663135528564453,0.4728808591458723,,-0.5281070962396028,98,51,98,51,7,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.036696672439575195,12,11
delgum,hospital,ProviderNumber,0.049109697341918945,0.0001289844512939453,0.045961856842041016,0.0030188560485839844,0.0,,-0.5,0,-1,0,-1,12,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.04588890075683594,12,11
delgum,hospital,ProviderNumber,0.08914065361022949,0.00013399124145507812,0.08595776557922363,0.0030488967895507812,0.00122264872342992,,-0.41727799102838165,852,426,852,426,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.08135485649108887,12,11
delgum,hospital,ProviderNumber,0.009073019027709961,0.00012493133544921875,0.0067179203033447266,0.0022301673889160156,0.4222525504439629,,-0.33612627522198146,8,6,8,6,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.006599903106689453,12,11
delgum,hospital,ProviderNumber,0.05081319808959961,0.0001220703125,0.047326087951660156,0.003365039825439453,0.42199187202750077,,-0.5443292693470837,446,223,446,223,8,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.04547381401062012,12,11
delgum,hospital,ProviderNumber,0.06722402572631836,0.00013208389282226562,0.06452608108520508,0.0025658607482910156,0.5181390843957779,,-0.7174028755312223,424,213,424,213,11,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.06220698356628418,12,11
delgum,hospital,ProviderNumber,0.10043668746948242,0.00012993812561035156,0.09693694114685059,0.0033698081970214844,0.5274574362511417,,-0.6803953847922375,588,295,588,295,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.09283280372619629,12,11
delgum,hospital,ProviderNumber,0.01559901237487793,0.00012302398681640625,0.012826919555664062,0.002649068832397461,0.39315835083520145,,-0.4049125087509341,14,9,14,9,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.012644052505493164,12,11
