method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delgum,hospital,ProviderNumber,0.03839111328125,0.00012993812561035156,0.03648734092712402,0.001773834228515625,0.496195078521512,,-0.531237217982043,55,57,55,57,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.03540492057800293,12,11,0.03826117515563965
delgum,hospital,ProviderNumber,0.04312705993652344,0.00014281272888183594,0.041161298751831055,0.0018229484558105469,0.26187931623708605,,-0.40095494172326906,55,56,55,56,9,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.040522098541259766,12,11,0.0429842472076416
delgum,hospital,ProviderNumber,0.01918625831604004,0.0001270771026611328,0.01727604866027832,0.001783132553100586,0.4961657865005712,,-0.5312152489663374,17,19,17,19,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.016987085342407227,12,11,0.019059181213378906
delgum,hospital,ProviderNumber,0.05324888229370117,0.00013899803161621094,0.05118107795715332,0.0019288063049316406,0.24315756576632586,,-0.4323681743247444,219,220,219,220,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04835796356201172,12,11,0.05310988426208496
delgum,hospital,ProviderNumber,0.053446292877197266,0.0001399517059326172,0.05107307434082031,0.002233266830444336,0.4694541344903692,,-0.5339087826859588,56,58,56,58,8,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.049912214279174805,12,11,0.05330634117126465
delgum,hospital,ProviderNumber,0.003387928009033203,0.00014710426330566406,0.0013349056243896484,0.0019059181213378906,0.6623992294064142,,-0.49679942205481065,0,4,0,4,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.001283884048461914,12,11,0.003240823745727539
delgum,hospital,ProviderNumber,0.03594017028808594,0.0001270771026611328,0.03388524055480957,0.0019278526306152344,0.385599188513301,,-0.4255630277486121,46,47,46,47,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.033226966857910156,12,11,0.035813093185424805
delgum,hospital,ProviderNumber,0.004657268524169922,0.00012803077697753906,0.0026988983154296875,0.0018303394317626953,0.6623992294064142,,-0.5195266947820834,0,4,0,4,1,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.002635955810546875,12,11,0.004529237747192383
delgum,hospital,ProviderNumber,0.006894826889038086,0.00012183189392089844,0.005098104476928711,0.0016748905181884766,0.6090400455538584,,-0.5022345796199392,2,5,2,5,2,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.004998922348022461,12,11,0.0067729949951171875
delgum,hospital,ProviderNumber,0.0569911003112793,0.00011587142944335938,0.05500507354736328,0.0018701553344726562,0.0,,-0.25,0,-1,0,-1,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.05492591857910156,12,11,0.05687522888183594
delgum,hospital,ProviderNumber,0.07329297065734863,0.00012803077697753906,0.07122611999511719,0.0019388198852539062,0.0,,-0.25,0,-1,0,-1,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0711526870727539,12,11,0.0731649398803711
delgum,hospital,ProviderNumber,0.15030384063720703,0.00012803077697753906,0.14745211601257324,0.00272369384765625,0.029167650999047168,,-0.22642119279473993,426,426,426,426,9,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.1422290802001953,12,11,0.1501758098602295
delgum,hospital,ProviderNumber,0.024603843688964844,0.0001437664031982422,0.0224912166595459,0.001968860626220703,0.6090400455538584,,-0.6158709432563029,16,19,16,19,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.022024154663085938,12,11,0.0244600772857666
delgum,hospital,ProviderNumber,0.043747901916503906,0.00014090538024902344,0.041676998138427734,0.0019299983978271484,0.5101905488469809,,-0.5417338207261447,57,59,57,59,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04054617881774902,12,11,0.04360699653625488
delgum,hospital,ProviderNumber,0.03828597068786621,0.0001571178436279297,0.036177873611450195,0.001950979232788086,0.26303652729247295,,-0.3563683045602638,72,73,72,73,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.035257816314697266,12,11,0.03812885284423828
delgum,hospital,ProviderNumber,0.16368794441223145,0.0001499652862548828,0.16180896759033203,0.0017290115356445312,0.0002521225070323263,,-0.2274618191530015,426,426,426,426,10,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.15624713897705078,12,11,0.16353797912597656
delgum,hospital,ProviderNumber,0.0077512264251708984,0.0001442432403564453,0.0061168670654296875,0.0014901161193847656,0.6086948858179753,,-0.5247029825452996,2,5,2,5,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0060160160064697266,12,11,0.007606983184814453
delgum,hospital,ProviderNumber,0.0036170482635498047,0.00013494491577148438,0.0013082027435302734,0.002173900604248047,0.6623992294064142,,-0.49679942205481065,0,4,0,4,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0012581348419189453,12,11,0.0034821033477783203
delgum,adult,education,0.006567716598510742,0.0002110004425048828,0.004837989807128906,0.0015187263488769531,0.49122554744404323,,-0.39114643331030513,0,7,0,7,1,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.004722118377685547,12,11,0.006356716156005859
delgum,adult,education,0.08282613754272461,0.000186920166015625,0.0810539722442627,0.001585245132446289,0.10890742456713587,,-0.240771477516261,102,105,102,105,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.07955312728881836,12,11,0.08263921737670898
delgum,adult,education,0.013780832290649414,0.00018286705017089844,0.012125015258789062,0.0014729499816894531,0.26705947660928453,,-0.2684764256387816,2,8,2,8,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.011917829513549805,12,11,0.013597965240478516
delgum,adult,education,0.1987600326538086,0.00018310546875,0.19598388671875,0.0025930404663085938,0.0015484762382850237,,-0.20570681172416833,564,564,564,564,9,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.18891072273254395,12,11,0.1985769271850586
delgum,adult,education,0.3338150978088379,0.00018525123596191406,0.3307168483734131,0.0029129981994628906,0.037430867567454285,,-0.23261860522104527,1410,1410,1410,1410,9,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.313122034072876,12,11,0.333629846572876
delgum,adult,education,0.29349279403686523,0.0002090930938720703,0.29076576232910156,0.0025179386138916016,0.0,,-0.25,0,-1,0,-1,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.29065918922424316,12,11,0.29328370094299316
delgum,adult,education,0.010956525802612305,0.00021791458129882812,0.008819818496704102,0.001918792724609375,0.4406388896832574,,-0.3759337127169885,4,9,4,9,2,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.008662939071655273,12,11,0.010738611221313477
delgum,adult,education,0.05878782272338867,0.00020265579223632812,0.05642127990722656,0.0021638870239257812,0.06627378977929699,,-0.1860689786981091,68,70,68,70,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0553891658782959,12,11,0.058585166931152344
delgum,adult,education,0.055876970291137695,0.0001850128173828125,0.053418874740600586,0.002273082733154297,0.020194242365307313,,-0.1287820454103441,98,98,98,98,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.05229306221008301,12,11,0.05569195747375488
delgum,adult,education,0.4291701316833496,0.00019788742065429688,0.42690420150756836,0.002068042755126953,0.0,,-0.25,0,-1,0,-1,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.4268040657043457,12,11,0.4289722442626953
delgum,adult,education,0.03219199180603027,0.00019097328186035156,0.029703855514526367,0.0022971630096435547,0.1903951545405338,,-0.256432729541764,24,28,24,28,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.029228925704956055,12,11,0.03200101852416992
delgum,adult,education,0.3335151672363281,0.00018715858459472656,0.3308389186859131,0.0024890899658203125,0.06186679412348017,,-0.2509455501380647,1004,1005,1004,1005,9,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.31497788429260254,12,11,0.3333280086517334
delgum,adult,education,0.21823382377624512,0.00020599365234375,0.2151329517364502,0.002894878387451172,0.02784967925602566,,-0.2481599867147465,1242,1242,1242,1242,10,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.19968318939208984,12,11,0.21802783012390137
delgum,adult,education,0.2099010944366455,0.0002129077911376953,0.20734429359436035,0.002343893051147461,0.056205549779395736,,-0.22397234415272863,457,457,457,457,8,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.20118117332458496,12,11,0.2096881866455078
delgum,adult,education,0.2853069305419922,0.00020003318786621094,0.2825028896331787,0.0026040077209472656,0.009312361969754046,,-0.2115297260227701,611,611,611,611,9,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.27547502517700195,12,11,0.285106897354126
delgum,adult,education,0.2172532081604004,0.00019311904907226562,0.21421408653259277,0.0028460025787353516,0.02081924993057771,,-0.24288716472066055,879,879,879,879,10,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.20517921447753906,12,11,0.21706008911132812
delgum,adult,education,0.04584240913391113,0.00019621849060058594,0.04329109191894531,0.0023550987243652344,0.12809943965902804,,-0.23243821610790738,32,36,32,36,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04272794723510742,12,11,0.04564619064331055
delgum,adult,education,0.1680901050567627,0.0002849102020263672,0.16461730003356934,0.003187894821166992,0.13008021763052202,,-0.27937834504107334,420,421,420,421,8,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.15932512283325195,12,11,0.16780519485473633
delgum,adult,education,0.01836085319519043,0.00019598007202148438,0.014219999313354492,0.003944873809814453,0.2124576547517394,,-0.22752505924562272,12,16,12,16,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.013968229293823242,12,11,0.018164873123168945
delgum,adult,education,0.04920625686645508,0.00019788742065429688,0.046598196029663086,0.0024101734161376953,0.10643447718887722,,-0.19346222152802156,56,59,56,59,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04554915428161621,12,11,0.04900836944580078
delgum,adult,education,0.01385188102722168,0.00019097328186035156,0.01195216178894043,0.0017087459564208984,0.396029780856501,,-0.3652041538241939,8,13,8,13,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.011758089065551758,12,11,0.013660907745361328
delgum,adult,education,0.25035667419433594,0.00017690658569335938,0.2477869987487793,0.0023927688598632812,0.0,,-0.25,0,-1,0,-1,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.2476820945739746,12,11,0.2501797676086426
delgum,adult,education,0.16419625282287598,0.0001971721649169922,0.16150307655334473,0.002496004104614258,0.018323716691423297,,-0.17283369660947656,397,397,397,397,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.15703034400939941,12,11,0.16399908065795898
delgum,adult,education,0.003983020782470703,0.00019502639770507812,0.002028942108154297,0.0017590522766113281,0.49122554744404323,,-0.3684191605830324,0,7,0,7,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0019519329071044922,12,11,0.003787994384765625
delgum,adult,education,0.24363112449645996,0.0002739429473876953,0.24077320098876953,0.0025839805603027344,0.0,,-0.22727272727272727,0,-1,0,-1,10,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.2406749725341797,12,11,0.24335718154907227
delgum,adult,education,0.0039920806884765625,0.0002238750457763672,0.0022881031036376953,0.0014801025390625,0.49122554744404323,,-0.3684191605830324,0,7,0,7,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0022132396697998047,12,11,0.0037682056427001953
delgum,adult,education,0.044760704040527344,0.00018405914306640625,0.04293084144592285,0.001645803451538086,0.08300474165993987,,-0.17588991988131852,98,98,98,98,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04200410842895508,12,11,0.04457664489746094
delgum,adult,education,0.06374740600585938,0.00021696090698242188,0.06146717071533203,0.002063274383544922,0.15185955720841837,,-0.2502583042699501,66,70,66,70,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.05983424186706543,12,11,0.06353044509887695
delgum,adult,education,0.03953909873962402,0.00021505355834960938,0.037004947662353516,0.0023190975189208984,0.4597782854988285,,-0.458470077760485,16,21,16,21,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.03648996353149414,12,11,0.039324045181274414
delgum,adult,education,0.05937838554382324,0.00020503997802734375,0.05504322052001953,0.004130125045776367,0.021093485855640193,,-0.1294564780280938,98,98,98,98,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.053811073303222656,12,11,0.0591733455657959
delgum,adult,education,0.08906674385070801,0.00020503997802734375,0.08647990226745605,0.0023818016052246094,0.06175288425535275,,-0.1826782995551509,79,81,79,81,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.08439779281616211,12,11,0.08886170387268066
delgum,adult,education,0.32268214225769043,0.00020313262939453125,0.3199758529663086,0.0025031566619873047,0.0,,-0.25,0,-1,0,-1,11,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.31986308097839355,12,11,0.3224790096282959
delgum,adult,education,0.0875704288482666,0.0002110004425048828,0.08495426177978516,0.0024051666259765625,0.2482887212771384,,-0.32258017732149014,124,127,124,127,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.08282089233398438,12,11,0.08735942840576172
delgum,adult,education,0.27135396003723145,0.00019621849060058594,0.26917386054992676,0.0019838809967041016,0.02081924993057771,,-0.24288716472066055,879,879,879,879,10,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.26010704040527344,12,11,0.27115774154663086
delgum,adult,education,0.024667739868164062,0.0002110004425048828,0.022212743759155273,0.0022439956665039062,0.26705947660928453,,-0.2912036983660543,4,10,4,10,4,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.02179694175720215,12,11,0.02445673942565918
delgum,adult,education,0.00653386116027832,0.00018787384033203125,0.004621982574462891,0.0017240047454833984,0.49122554744404323,,-0.39114643331030513,0,7,0,7,1,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.004522085189819336,12,11,0.006345987319946289
delgum,adult,education,0.10167193412780762,0.00018405914306640625,0.09733390808105469,0.0041539669036865234,0.004701224263297221,,-0.162616827288382,168,168,168,168,7,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.09566998481750488,12,11,0.10148787498474121
delgum,adult,education,0.015378236770629883,0.0001881122589111328,0.013303995132446289,0.001886129379272461,0.11568210096592169,,-0.15494339390625944,13,16,13,16,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.013067007064819336,12,11,0.01519012451171875
delgum,adult,education,0.003899812698364258,0.0001819133758544922,0.001965045928955078,0.0017528533935546875,0.49122554744404323,,-0.3684191605830324,0,7,0,7,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0018918514251708984,12,11,0.0037178993225097656
delgum,adult,education,0.144378662109375,0.0001926422119140625,0.14172792434692383,0.0024580955505371094,0.07079097303514104,,-0.2349114115945376,261,263,261,263,8,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.1372678279876709,12,11,0.14418601989746094
