method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,epsil,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,num_instantiated_cells,denom_I_minus_1,total_time_minus_init
delgum,airport,scheduled_service,0.002149820327758789,0.0001201629638671875,0.0005576610565185547,0.0014719963073730469,0.5681900575173376,,-0.5261425431380032,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.000537872314453125,6,5,0.0020296573638916016
delgum,hospital,ProviderNumber,0.023357868194580078,0.0012810230255126953,0.02020406723022461,0.0018727779388427734,0.2629936790618288,,-0.35633616838728066,33,34,33,34,7,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.019851207733154297,12,11,0.022076845169067383
delgum,hospital,ProviderNumber,0.004781961441040039,0.0003409385681152344,0.0028409957885742188,0.001600027084350586,0.6623992294064142,,-0.5195266947820834,0,4,0,4,1,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0027718544006347656,12,11,0.004441022872924805
delgum,hospital,ProviderNumber,0.11766195297241211,0.00030422210693359375,0.11544585227966309,0.0019118785858154297,0.14559895790530974,,-0.3591992184289823,275,275,275,275,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.11248373985290527,12,11,0.11735773086547852
delgum,hospital,ProviderNumber,0.004922628402709961,0.0003788471221923828,0.0028018951416015625,0.0017418861389160156,0.6623992294064142,,-0.5195266947820834,0,4,0,4,1,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0027320384979248047,12,11,0.004543781280517578
delgum,hospital,ProviderNumber,0.026134729385375977,0.000308990478515625,0.023990869522094727,0.001834869384765625,0.6623992294064142,,-0.633163058418447,0,4,0,4,6,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.023630857467651367,12,11,0.02582573890686035
delgum,hospital,ProviderNumber,0.04514360427856445,0.000293731689453125,0.043081045150756836,0.0017688274383544922,0.26187931623708605,,-0.37822766899599636,87,88,87,88,8,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04180002212524414,12,11,0.04484987258911133
delgum,hospital,ProviderNumber,0.014627695083618164,0.00033974647521972656,0.012577056884765625,0.0017108917236328125,0.4961657865005712,,-0.4630334307845193,14,16,14,16,4,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.012336015701293945,12,11,0.014287948608398438
delgum,hospital,ProviderNumber,0.0070362091064453125,0.00029015541076660156,0.0051310062408447266,0.0016150474548339844,0.6086948858179753,,-0.5019757098180269,2,5,2,5,2,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.005028963088989258,12,11,0.006746053695678711
delgum,hospital,ProviderNumber,0.019459962844848633,0.0003581047058105469,0.017457962036132812,0.0016438961029052734,0.4961657865005712,,-0.485760703511792,14,16,14,16,5,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.01721811294555664,12,11,0.019101858139038086
delgum,hospital,ProviderNumber,0.006040334701538086,0.000347137451171875,0.004199981689453125,0.001493215560913086,0.6623992294064142,,-0.5422539675093561,0,4,0,4,2,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.004129886627197266,12,11,0.005693197250366211
delgum,hospital,ProviderNumber,0.07282185554504395,0.00029015541076660156,0.07078695297241211,0.0017447471618652344,0.0002521225070323263,,-0.2501890918802743,426,426,426,426,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.06517505645751953,12,11,0.07253170013427734
delgum,hospital,ProviderNumber,0.06570076942443848,0.0003509521484375,0.06352686882019043,0.0018229484558105469,0.14559895790530974,,-0.3591992184289823,275,275,275,275,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.060617923736572266,12,11,0.06534981727600098
delgum,hospital,ProviderNumber,0.01641106605529785,0.00036406517028808594,0.014329910278320312,0.0017170906066894531,0.37620841728789634,,-0.3957926766022859,7,9,7,9,5,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.014130830764770508,12,11,0.016047000885009766
delgum,hospital,ProviderNumber,0.07234430313110352,0.0003159046173095703,0.0703737735748291,0.0016546249389648438,0.0,,-0.25,0,-1,0,-1,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.07029485702514648,12,11,0.07202839851379395
delgum,hospital,ProviderNumber,0.008905410766601562,0.0003800392150878906,0.0066950321197509766,0.0018303394317626953,0.5422684587046469,,-0.47488316221030336,1,4,1,4,3,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.006592988967895508,12,11,0.008525371551513672
delgum,hospital,ProviderNumber,0.03543400764465332,0.0003008842468261719,0.03337502479553223,0.0017580986022949219,0.385599188513301,,-0.4482903004758848,69,70,69,70,7,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.03239703178405762,12,11,0.03513312339782715
delgum,hospital,ProviderNumber,0.00490880012512207,0.00040602684020996094,0.002692699432373047,0.0018100738525390625,0.5422684587046469,,-0.4294286167557579,1,4,1,4,1,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.002627134323120117,12,11,0.004502773284912109
delgum,hospital,ProviderNumber,0.032765865325927734,0.0002799034118652344,0.030825138092041016,0.0016608238220214844,0.26187931623708605,,-0.3327731235414509,56,57,56,57,6,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.030122995376586914,12,11,0.0324859619140625
delgum,hospital,ProviderNumber,0.09710121154785156,0.0003399848937988281,0.09486007690429688,0.0019011497497558594,0.0002521225070323263,,-0.2501890918802743,426,426,426,426,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.08936214447021484,12,11,0.09676122665405273
delgum,hospital,ProviderNumber,0.0073778629302978516,0.00039005279541015625,0.005457878112792969,0.0015299320220947266,0.5468475106079831,,-0.4555901784105328,4,6,4,6,2,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0053539276123046875,12,11,0.006987810134887695
delgum,hospital,ProviderNumber,0.040662288665771484,0.0003991127014160156,0.038388967514038086,0.0018742084503173828,0.385599188513301,,-0.4482903004758848,44,45,44,45,7,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.03780698776245117,12,11,0.04026317596435547
delgum,hospital,ProviderNumber,0.009534120559692383,0.0004279613494873047,0.007280111312866211,0.0018260478973388672,0.5422684587046469,,-0.47488316221030336,2,5,2,5,3,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.007161140441894531,12,11,0.009106159210205078
delgum,hospital,ProviderNumber,0.015647172927856445,0.0003669261932373047,0.013802051544189453,0.0014781951904296875,0.496195078521512,,-0.4630553998002249,14,16,14,16,4,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.013549089431762695,12,11,0.01528024673461914
delgum,hospital,ProviderNumber,0.0960698127746582,0.00039887428283691406,0.09379100799560547,0.0018799304962158203,0.0002521225070323263,,-0.2501890918802743,426,426,426,426,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0881810188293457,12,11,0.09567093849182129
delgum,hospital,ProviderNumber,0.008958101272583008,0.0003597736358642578,0.0068891048431396484,0.0017092227935791016,0.6623992294064142,,-0.5877085129639016,0,4,0,4,4,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.006808280944824219,12,11,0.00859832763671875
delgum,hospital,ProviderNumber,0.05579185485839844,0.0003046989440917969,0.05369710922241211,0.0017900466918945312,0.24315756576632586,,-0.4323681743247444,219,220,219,220,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.050909996032714844,12,11,0.05548715591430664
delgum,hospital,ProviderNumber,0.023155927658081055,0.0003960132598876953,0.020999908447265625,0.0017600059509277344,0.4694541344903692,,-0.46572696450414053,21,23,21,23,5,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.020596981048583984,12,11,0.02275991439819336
delgum,hospital,ProviderNumber,0.0060520172119140625,0.00042700767517089844,0.004142045974731445,0.0014829635620117188,0.6623992294064142,,-0.5422539675093561,0,4,0,4,2,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0040740966796875,12,11,0.005625009536743164
delgum,hospital,ProviderNumber,0.03343605995178223,0.0006341934204101562,0.027638912200927734,0.005162954330444336,0.496195078521512,,-0.4857826725274976,19,21,19,21,5,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.027300119400024414,12,11,0.03280186653137207
delgum,hospital,ProviderNumber,0.040589332580566406,0.0005979537963867188,0.03754925727844238,0.0024421215057373047,0.5468475106079831,,-0.523771996592351,24,26,24,26,5,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.03698086738586426,12,11,0.03999137878417969
delgum,hospital,ProviderNumber,0.03634071350097656,0.0006959438323974609,0.03389787673950195,0.0017468929290771484,0.5101905488469809,,-0.5417338207261447,37,39,37,39,7,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.03321504592895508,12,11,0.0356447696685791
delgum,hospital,ProviderNumber,0.1421337127685547,0.0005183219909667969,0.13969016075134277,0.0019252300262451172,0.21940735109689347,,-0.39182824059539734,403,403,403,403,10,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.13544511795043945,12,11,0.1416153907775879
delgum,hospital,ProviderNumber,0.10248303413391113,0.0004699230194091797,0.09969425201416016,0.002318859100341797,0.2902622119955647,,-0.4676966589966735,275,275,275,275,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.09703278541564941,12,11,0.10201311111450195
delgum,hospital,ProviderNumber,0.003657102584838867,0.0004181861877441406,0.0013620853424072266,0.0018768310546875,0.6623992294064142,,-0.49679942205481065,0,4,0,4,0,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0013000965118408203,12,11,0.0032389163970947266
delgum,hospital,ProviderNumber,0.023162841796875,0.0003440380096435547,0.02093195915222168,0.0018868446350097656,0.385599188513301,,-0.4482903004758848,42,43,42,43,7,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0203399658203125,12,11,0.022818803787231445
delgum,hospital,ProviderNumber,0.11707472801208496,0.0004487037658691406,0.11498308181762695,0.0016429424285888672,0.14559895790530974,,-0.3591992184289823,275,275,275,275,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.11200213432312012,12,11,0.11662602424621582
delgum,hospital,ProviderNumber,0.012186765670776367,0.0004210472106933594,0.009981870651245117,0.0017838478088378906,0.5468475106079831,,-0.5010447238650783,8,10,8,10,4,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00979924201965332,12,11,0.011765718460083008
delgum,hospital,ProviderNumber,0.004940032958984375,0.00038504600524902344,0.0029120445251464844,0.0016429424285888672,0.6086948858179753,,-0.47924843709075415,1,4,1,4,1,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0028400421142578125,12,11,0.0045549869537353516
delgum,hospital,ProviderNumber,0.00683903694152832,0.0004239082336425781,0.004716157913208008,0.0016989707946777344,0.6623992294064142,,-0.5422539675093561,0,4,0,4,2,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.004628181457519531,12,11,0.006415128707885742
delgum,hospital,ProviderNumber,0.029378175735473633,0.0003750324249267578,0.027158021926879883,0.0018451213836669922,0.6090400455538584,,-0.6613254887108484,23,26,23,26,9,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.02656412124633789,12,11,0.029003143310546875
delgum,hospital,ProviderNumber,0.11497783660888672,0.0004248619079589844,0.11295413970947266,0.0015988349914550781,0.035544277937330504,,-0.2084763902711797,426,426,426,426,8,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.10726809501647949,12,11,0.11455297470092773
delgum,hospital,ProviderNumber,0.020090818405151367,0.00035190582275390625,0.018198013305664062,0.0015408992767333984,0.42853421735144903,,-0.4577642993772231,23,24,23,24,6,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.017885923385620117,12,11,0.01973891258239746
delgum,hospital,ProviderNumber,0.01873922348022461,0.0003592967987060547,0.016963720321655273,0.0014162063598632812,0.2629936790618288,,-0.35633616838728066,33,34,33,34,7,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.016594886779785156,12,11,0.018379926681518555
delgum,hospital,ProviderNumber,0.08891606330871582,0.00036406517028808594,0.08658409118652344,0.001967906951904297,0.0002521225070323263,,-0.2501890918802743,426,426,426,426,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0809791088104248,12,11,0.08855199813842773
delgum,hospital,ProviderNumber,0.04811382293701172,0.0004138946533203125,0.045942068099975586,0.0017578601837158203,0.385599188513301,,-0.5391993913849757,212,213,212,213,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.04324007034301758,12,11,0.047699928283691406
delgum,hospital,ProviderNumber,0.005967140197753906,0.0003821849822998047,0.003743886947631836,0.0018410682678222656,0.6623992294064142,,-0.5422539675093561,0,4,0,4,2,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0036783218383789062,12,11,0.0055849552154541016
delgum,hospital,ProviderNumber,0.009915828704833984,0.0003600120544433594,0.007908821105957031,0.0016469955444335938,0.4694541344903692,,-0.42027241904959506,7,9,7,9,3,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.007752895355224609,12,11,0.009555816650390625
delgum,hospital,ProviderNumber,0.1736619472503662,0.0003650188446044922,0.17131686210632324,0.0019800662994384766,0.0,,-0.25,0,-1,0,-1,11,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.17123699188232422,12,11,0.17329692840576172
delgum,hospital,ProviderNumber,0.02171921730041504,0.0007588863372802734,0.01916813850402832,0.0017921924591064453,0.6086948858179753,,-0.5701575279998451,7,10,7,10,5,1823,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.018887758255004883,12,11,0.020960330963134766
