method,dataset,target_attribute,total_time,init_time,model_time,del_time,delete_db_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delmin,hospital,ProviderNumber,0.0371403694152832,0.004871845245361328,0.026751041412353516,0.0032548904418945312,0.002262592315673828,0.002262592315673828,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,0,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03819894790649414,0.0048122406005859375,0.027646303176879883,0.003682374954223633,0.0020580291748046875,0.0020580291748046875,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.04454660415649414,0.004614830017089844,0.029646873474121094,0.006120204925537109,0.004164695739746094,0.004164695739746094,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03780698776245117,0.005071163177490234,0.0266721248626709,0.0038487911224365234,0.0022149085998535156,0.0022149085998535156,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03641033172607422,0.004559040069580078,0.02590203285217285,0.0037393569946289062,0.002209901809692383,0.002209901809692383,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03713583946228027,0.004853963851928711,0.026033878326416016,0.004099130630493164,0.002148866653442383,0.002148866653442383,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03820514678955078,0.0049741268157958984,0.027066946029663086,0.00398707389831543,0.002177000045776367,0.002177000045776367,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03644704818725586,0.005057096481323242,0.025439977645874023,0.003692150115966797,0.002257823944091797,0.002257823944091797,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03905606269836426,0.004952907562255859,0.026541948318481445,0.005312919616699219,0.0022482872009277344,0.0022482872009277344,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.0384829044342041,0.004679203033447266,0.0270388126373291,0.004344940185546875,0.0024199485778808594,0.0024199485778808594,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.039446115493774414,0.0052280426025390625,0.028146982192993164,0.003759145736694336,0.0023119449615478516,0.0023119449615478516,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03889918327331543,0.005716085433959961,0.02657008171081543,0.004004001617431641,0.0026090145111083984,0.0026090145111083984,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03812408447265625,0.005063056945800781,0.02656102180480957,0.0041811466217041016,0.002318859100341797,0.002318859100341797,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.055732011795043945,0.004572868347167969,0.02388787269592285,0.024557113647460938,0.0027141571044921875,0.0027141571044921875,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.037802934646606445,0.0048601627349853516,0.026102781295776367,0.004027128219604492,0.0028128623962402344,0.0028128623962402344,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.036473989486694336,0.004925251007080078,0.025573015213012695,0.003671884536743164,0.0023038387298583984,0.0023038387298583984,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03784608840942383,0.00469517707824707,0.02670598030090332,0.0038650035858154297,0.002579927444458008,0.002579927444458008,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,hospital,ProviderNumber,0.03853297233581543,0.0047931671142578125,0.02720785140991211,0.003905057907104492,0.0026268959045410156,0.0026268959045410156,-0.5555555555555556,,10,0,-1,0,-1,11,85248,0.0,1,,,,,,,,,,,
delmin,adult,education,0.0748438835144043,0.006668806076049805,0.06239891052246094,0.0036573410034179688,0.002118825912475586,0.002118825912475586,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.06176114082336426,0.005438089370727539,0.05120086669921875,0.0032150745391845703,0.0019071102142333984,0.0019071102142333984,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05475211143493652,0.005443096160888672,0.043933868408203125,0.0032100677490234375,0.002165079116821289,0.002165079116821289,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.056981563568115234,0.0053730010986328125,0.04657888412475586,0.0029659271240234375,0.002063751220703125,0.002063751220703125,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.0636129379272461,0.005429983139038086,0.044271230697631836,0.011379718780517578,0.0025320053100585938,0.0025320053100585938,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05173516273498535,0.005377054214477539,0.04227876663208008,0.0024912357330322266,0.0015881061553955078,0.0015881061553955078,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05978727340698242,0.005387067794799805,0.04928112030029297,0.003114938735961914,0.0020041465759277344,0.0020041465759277344,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.056487083435058594,0.005498170852661133,0.04584813117980957,0.0031669139862060547,0.001973867416381836,0.001973867416381836,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.052410125732421875,0.005190134048461914,0.043051958084106445,0.0025060176849365234,0.0016620159149169922,0.0016620159149169922,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05200314521789551,0.005062103271484375,0.04250526428222656,0.0027506351470947266,0.0016851425170898438,0.0016851425170898438,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.056459665298461914,0.0050067901611328125,0.04673314094543457,0.0025458335876464844,0.002173900604248047,0.002173900604248047,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05668807029724121,0.005412101745605469,0.04637479782104492,0.003019094467163086,0.0018820762634277344,0.0018820762634277344,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.052281856536865234,0.005120992660522461,0.0425870418548584,0.0027980804443359375,0.0017757415771484375,0.0017757415771484375,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05215096473693848,0.005288839340209961,0.042388200759887695,0.0025420188903808594,0.001931905746459961,0.001931905746459961,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05524706840515137,0.005103111267089844,0.045339107513427734,0.0028917789459228516,0.0019130706787109375,0.0019130706787109375,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05704498291015625,0.005609035491943359,0.047118186950683594,0.002602815628051758,0.001714944839477539,0.001714944839477539,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.052681922912597656,0.005239009857177734,0.04302692413330078,0.002649068832397461,0.0017669200897216797,0.0017669200897216797,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05231308937072754,0.005160808563232422,0.04271888732910156,0.002596139907836914,0.0018372535705566406,0.0018372535705566406,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.056159019470214844,0.005115985870361328,0.04643392562866211,0.0026242733001708984,0.001984834671020508,0.001984834671020508,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05754208564758301,0.005573272705078125,0.047139883041381836,0.002989053726196289,0.0018398761749267578,0.0018398761749267578,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.053441762924194336,0.005352020263671875,0.04363083839416504,0.0026061534881591797,0.0018527507781982422,0.0018527507781982422,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.054248809814453125,0.005502939224243164,0.04402804374694824,0.0026810169219970703,0.0020368099212646484,0.0020368099212646484,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.057724952697753906,0.005304098129272461,0.04726219177246094,0.0033757686614990234,0.0017828941345214844,0.0017828941345214844,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05672311782836914,0.0056629180908203125,0.046227216720581055,0.0030388832092285156,0.0017940998077392578,0.0017940998077392578,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05307483673095703,0.005021810531616211,0.04348397254943848,0.002771139144897461,0.0017979145050048828,0.0017979145050048828,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05242276191711426,0.0053026676177978516,0.042893171310424805,0.0024809837341308594,0.0017459392547607422,0.0017459392547607422,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05699467658996582,0.005187034606933594,0.04669809341430664,0.0031816959381103516,0.0019278526306152344,0.0019278526306152344,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05816006660461426,0.005323886871337891,0.047698259353637695,0.0032689571380615234,0.0018689632415771484,0.0018689632415771484,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05240583419799805,0.0057048797607421875,0.0420839786529541,0.0028569698333740234,0.0017600059509277344,0.0017600059509277344,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.052593231201171875,0.005151033401489258,0.0429837703704834,0.0025293827056884766,0.0019290447235107422,0.0019290447235107422,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.056691884994506836,0.0050811767578125,0.046385765075683594,0.003370046615600586,0.0018548965454101562,0.0018548965454101562,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.0579218864440918,0.005445003509521484,0.04748797416687012,0.003161907196044922,0.0018270015716552734,0.0018270015716552734,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05280113220214844,0.005574941635131836,0.04280686378479004,0.0025870800018310547,0.0018322467803955078,0.0018322467803955078,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.052132368087768555,0.005095005035400391,0.04285907745361328,0.0024890899658203125,0.0016891956329345703,0.0016891956329345703,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.056906938552856445,0.005075216293334961,0.046692848205566406,0.003123044967651367,0.002015829086303711,0.002015829086303711,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05701756477355957,0.005678653717041016,0.046408891677856445,0.003103017807006836,0.0018270015716552734,0.0018270015716552734,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05227947235107422,0.005271196365356445,0.042525291442871094,0.0025887489318847656,0.001894235610961914,0.001894235610961914,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05200314521789551,0.005070924758911133,0.04252815246582031,0.0027227401733398438,0.0016813278198242188,0.0016813278198242188,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05654621124267578,0.0051670074462890625,0.04634284973144531,0.0030663013458251953,0.001970052719116211,0.001970052719116211,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.057145118713378906,0.005547046661376953,0.04662299156188965,0.0031118392944335938,0.001863241195678711,0.001863241195678711,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05278325080871582,0.0051381587982177734,0.043050289154052734,0.002827882766723633,0.0017669200897216797,0.0017669200897216797,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05192685127258301,0.0051157474517822266,0.04245710372924805,0.0026738643646240234,0.001680135726928711,0.001680135726928711,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05594182014465332,0.005137920379638672,0.04582810401916504,0.0029850006103515625,0.001990795135498047,0.001990795135498047,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05819511413574219,0.005515098571777344,0.047804832458496094,0.0030531883239746094,0.0018219947814941406,0.0018219947814941406,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05347704887390137,0.005380868911743164,0.04298877716064453,0.003325223922729492,0.0017821788787841797,0.0017821788787841797,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.052016258239746094,0.005072116851806641,0.042413949966430664,0.002783060073852539,0.00174713134765625,0.00174713134765625,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.055726051330566406,0.0050699710845947266,0.0458528995513916,0.002843141555786133,0.0019600391387939453,0.0019600391387939453,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05671191215515137,0.0053920745849609375,0.04667496681213379,0.0028319358825683594,0.0018129348754882812,0.0018129348754882812,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05326676368713379,0.005154132843017578,0.04342794418334961,0.0029227733612060547,0.0017619132995605469,0.0017619132995605469,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,adult,education,0.05200314521789551,0.0050182342529296875,0.04295206069946289,0.0023488998413085938,0.001683950424194336,0.001683950424194336,-0.5454545454545454,,12,0,-1,0,-1,13,175048,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.07110095024108887,0.014157772064208984,0.050997018814086914,0.004060268402099609,0.0018858909606933594,0.0018858909606933594,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.09016013145446777,0.014183998107910156,0.06956887245178223,0.004487276077270508,0.0019199848175048828,0.0019199848175048828,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.08900570869445801,0.013386011123657227,0.06982922554016113,0.0038247108459472656,0.001965761184692383,0.001965761184692383,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.09095501899719238,0.01328897476196289,0.07081198692321777,0.004595041275024414,0.0022590160369873047,0.0022590160369873047,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.09355616569519043,0.01880025863647461,0.06741189956665039,0.004027128219604492,0.0033168792724609375,0.0033168792724609375,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.08809900283813477,0.014031171798706055,0.06786489486694336,0.004018068313598633,0.0021848678588867188,0.0021848678588867188,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.08834052085876465,0.013470172882080078,0.06922292709350586,0.003768444061279297,0.001878976821899414,0.001878976821899414,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.11540079116821289,0.013231992721557617,0.0959007740020752,0.004082918167114258,0.0021851062774658203,0.0021851062774658203,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
delmin,flight,FlightNum,0.0834815502166748,0.013142824172973633,0.06412005424499512,0.004372835159301758,0.0018458366394042969,0.0018458366394042969,-0.5416666666666666,,13,0,-1,0,-1,14,232080,0.0,1,,,,,,,,,,,
