dataset,lambda,leakage,utility,mask_size
hospital,10000,0.385599188513301,-10000.5,5
hospital,10000,0.6086948858179753,-10000.3,3
hospital,10000,0.24315756576632586,-0.6,6
hospital,10000,0.6009727293422886,-10000.3,3
hospital,10000,0.21940735109689347,-0.6,6
hospital,10000,0.24315756576632586,-0.6,6
hospital,10000,0.505574395670396,-10000.2,2
hospital,10000,0.6009727293422886,-10000.2,2
hospital,10000,0.4156135985944347,-10000.6,6
hospital,10000,0.44440927545847886,-10000.5,5
hospital,10000,0.6623992294064142,-10000.2,2
hospital,10000,0.4930779364297052,-10000.7,7
hospital,10000,0.21940735109689347,-0.7,7
hospital,10000,0.24175913958548945,-0.5,5
hospital,10000,0.5468475106079831,-10000.4,4
hospital,10000,0.5468475106079831,-10000.6,6
hospital,10000,0.385599188513301,-10000.6,6
hospital,10000,0.5627711589443901,-10000.5,5
hospital,10000,0.48321731969835446,-10000.6,6
hospital,10000,0.4930779364297052,-10000.4,4
hospital,10000,0.21940735109689347,-0.8,8
hospital,10000,0.385599188513301,-10000.7,7
hospital,10000,0.6009727293422886,-10000.4,4
hospital,10000,0.42670191154078674,-10000.7,7
hospital,10000,0.505574395670396,-10000.6,6
hospital,10000,0.5627711589443901,-10000.2,2
hospital,10000,0.44440927545847886,-10000.5,5
hospital,10000,0.4156135985944347,-10000.6,6
hospital,10000,0.4156135985944347,-10000.5,5
hospital,10000,0.44440927545847886,-10000.7,7
hospital,10000,0.4930779364297052,-10000.3,3
hospital,10000,0.42670191154078674,-10000.7,7
hospital,10000,0.42670191154078674,-10000.6,6
hospital,10000,0.505574395670396,-10000.4,4
hospital,10000,0.6009727293422886,-10000.3,3
hospital,10000,0.35966634913433626,-10000.6,6
hospital,10000,0.6623992294064142,-10000.2,2
hospital,10000,0.35966634913433626,-10000.3,3
hospital,10000,0.24315756576632586,-0.7,7
hospital,10000,0.48321731969835446,-10000.6,6
hospital,10000,0.3166049127277152,-10000.7,7
hospital,10000,0.2902622119955647,-0.7,7
hospital,10000,0.44440927545847886,-10000.5,5
hospital,10000,0.35966634913433626,-10000.7,7
hospital,10000,0.5627711589443901,-10000.2,2
hospital,10000,0.6009727293422886,-10000.3,3
hospital,10000,0.385599188513301,-10000.4,4
hospital,10000,0.42670191154078674,-10000.5,5
hospital,10000,0.6009727293422886,-10000.3,3
hospital,10000,0.48321731969835446,-10000.4,4
hospital,10000,0.44440927545847886,-10000.6,6
hospital,10000,0.48321731969835446,-10000.5,5
hospital,10000,0.21945273335876703,-0.7,7
hospital,10000,0.385599188513301,-10000.7,7
hospital,10000,0.44440927545847886,-10000.9,9
hospital,10000,0.6086948858179753,-10000.4,4
hospital,10000,0.505574395670396,-10000.5,5
hospital,10000,0.4156135985944347,-10000.3,3
hospital,10000,0.385599188513301,-10000.6,6
hospital,10000,0.6623992294064142,-10000.2,2
hospital,10000,0.24175913958548945,-0.5,5
hospital,10000,0.5627711589443901,-10000.5,5
hospital,10000,0.5468475106079831,-10000.4,4
hospital,10000,0.4156135985944347,-10000.5,5
hospital,10000,0.5627711589443901,-10000.5,5
hospital,10000,0.24315756576632586,-0.6,6
hospital,10000,0.4156135985944347,-10000.6,6
hospital,10000,0.35966634913433626,-10000.3,3
hospital,10000,0.21945273335876703,-0.7,7
hospital,10000,0.4930779364297052,-10000.3,3
hospital,10000,0.24175913958548945,-0.7,7
hospital,10000,0.5468475106079831,-10000.5,5
hospital,10000,0.4930779364297052,-10000.4,4
hospital,10000,0.24175913958548945,-0.6,6
hospital,10000,0.5468475106079831,-10000.4,4
hospital,10000,0.4156135985944347,-10000.6,6
hospital,10000,0.6623992294064142,-10000.4,4
hospital,10000,0.4930779364297052,-10000.7,7
hospital,10000,0.6009727293422886,-10000.4,4
hospital,10000,0.385599188513301,-10000.4,4
hospital,10000,0.4930779364297052,-10000.6,6
hospital,10000,0.24315756576632586,-0.8,8
hospital,10000,0.44440927545847886,-10000.5,5
hospital,10000,0.5468475106079831,-10000.5,5
hospital,10000,0.6086948858179753,-10000.4,4
hospital,10000,0.5468475106079831,-10000.6,6
hospital,10000,0.24315756576632586,-0.5,5
hospital,10000,0.44440927545847886,-10000.7,7
hospital,10000,0.44440927545847886,-10000.6,6
hospital,10000,0.42670191154078674,-10000.7,7
hospital,10000,0.24315756576632586,-0.5,5
hospital,10000,0.5468475106079831,-10000.5,5
hospital,10000,0.385599188513301,-10000.5,5
hospital,10000,0.42670191154078674,-10000.6,6
hospital,10000,0.24315756576632586,-0.6,6
hospital,10000,0.6086948858179753,-10000.2,2
hospital,10000,0.5627711589443901,-10000.3,3
hospital,10000,0.5468475106079831,-10000.6,6
adult,10000,0.07204008838941911,-0.6666666666666666,8
adult,10000,0.09293117876014323,-0.5833333333333334,7
adult,10000,0.13754217745055075,-0.4166666666666667,5
adult,10000,0.07233549727772881,-0.6666666666666666,8
adult,10000,0.3292287010688275,-10000.416666666666,5
adult,10000,0.1289315908770955,-0.75,9
adult,10000,0.19687633289541717,-0.4166666666666667,5
adult,10000,0.12486866579692091,-0.4166666666666667,5
adult,10000,0.135682350389002,-0.5,6
adult,10000,0.13053632519572766,-0.4166666666666667,5
adult,10000,0.09822330773503263,-0.5833333333333334,7
adult,10000,0.27060522257091724,-0.3333333333333333,4
adult,10000,0.2652021792392981,-0.5,6
adult,10000,0.08763996489342851,-0.3333333333333333,4
adult,10000,0.20753229558958342,-0.75,9
adult,10000,0.02157140351669362,-0.5,6
adult,10000,0.07406484251623646,-0.5,6
adult,10000,0.03343280572356866,-0.5833333333333334,7
adult,10000,0.061251603619355666,-0.75,9
adult,10000,0.09293117876014323,-0.3333333333333333,4
adult,10000,0.214553142749229,-0.5,6
adult,10000,0.25108811290032795,-0.5833333333333334,7
adult,10000,0.396029780856501,-10000.416666666666,5
adult,10000,0.011468188591506223,-0.5833333333333334,7
adult,10000,0.10123561601604592,-0.6666666666666666,8
adult,10000,0.12392113587578757,-0.4166666666666667,5
adult,10000,0.3101932208205598,-10000.583333333334,7
adult,10000,0.07698315422113966,-0.5,6
adult,10000,0.12270688434069033,-0.75,9
adult,10000,0.36827548533646537,-10000.333333333334,4
adult,10000,0.09826439998900638,-0.4166666666666667,5
adult,10000,0.0809223295379995,-0.6666666666666666,8
adult,10000,0.3099560085397344,-10000.583333333334,7
adult,10000,0.3118714646505272,-10000.583333333334,7
adult,10000,0.0711822430037673,-0.5833333333333334,7
adult,10000,0.07406484251623646,-0.5,6
adult,10000,0.0035570985557785706,-0.75,9
adult,10000,0.1422166553330857,-0.4166666666666667,5
adult,10000,0.15662894254159787,-0.3333333333333333,4
adult,10000,0.11899816519612405,-0.5833333333333334,7
adult,10000,0.021101134764892948,-0.6666666666666666,8
adult,10000,0.08129409482449701,-0.5833333333333334,7
adult,10000,0.1265756312389622,-0.3333333333333333,4
adult,10000,0.2619944952694371,-0.5833333333333334,7
adult,10000,0.4004590147847542,-10000.5,6
adult,10000,0.13406952871319855,-0.5,6
adult,10000,0.0757161285691682,-0.5833333333333334,7
adult,10000,0.1286723566017356,-0.4166666666666667,5
