lambda,leakage,utility,mask_size
0.3,0.08265074730378996,-0.35,6
0.3,0.16861179236704193,-0.35,6
0.3,0.3532982626743343,-0.322656145468967,5
0.3,0.3156222907197025,-0.36968668721591075,6
0.3,0.21288031525530426,-0.2333333333333333,4
0.3,0.45200691109182567,-0.293935406660881,4
0.3,0.19136135316976532,-0.2916666666666667,5
0.3,0.2318495326877934,-0.2916666666666667,5
0.3,0.3506064661365269,-0.38018193984095805,6
0.3,0.1771495162356329,-0.2916666666666667,5
0.3,0.05744674092219215,-0.4083333333333333,7
0.3,0.2726821726489278,-0.123471318461345,2
0.3,0.36827548533646537,-0.2688159789342729,4
0.3,0.0885185724517844,-0.2916666666666667,5
0.3,0.378659399572999,-0.21359781987189969,3
0.3,0.07197245885197745,-0.4666666666666666,8
0.3,0.4199947253310894,-0.2843317509326601,4
0.3,0.07591614824449455,-0.4083333333333333,7
0.3,0.09571955534777521,-0.2916666666666667,5
0.3,0.28822277968938836,-0.3031335005734832,5
0.3,0.016678704474620276,-0.5249999999999999,9
0.3,0.10580446591983905,-0.4666666666666666,8
0.3,0.12008121104208991,-0.35,6
0.3,0.11174008934892732,-0.2916666666666667,5
0.3,0.4597782854988285,-0.29626681898298185,4
0.3,0.24805313656391814,-0.4083333333333333,7
0.3,0.09822330773503263,-0.2916666666666667,5
0.3,0.3841446984469006,-0.27357674286740347,4
0.3,0.36827548533646537,-0.2688159789342729,4
0.3,0.13346141606678164,-0.4083333333333333,7
0.3,0.19504202632893763,-0.2916666666666667,5
0.3,0.2652021792392981,-0.2962273204384561,5
0.3,0.10004696880635078,-0.35,6
0.3,0.2847561376204212,-0.24376017461945967,4
0.3,0.11174008934892732,-0.35,6
0.3,0.1480414721545925,-0.4083333333333333,7
0.3,0.3503480940774988,-0.38010442822324964,6
0.3,0.12746142189101917,-0.35,6
0.3,0.1878313247026666,-0.35,6
0.3,0.1030099373101242,-0.2916666666666667,5
0.3,0.06305060421076658,-0.4083333333333333,7
0.3,0.06337891181347477,-0.2916666666666667,5
0.3,0.10004696880635078,-0.35,6
0.3,0.08445475091969434,-0.4666666666666666,8
0.3,0.36960830881915396,-0.38588249264574614,6
0.3,0.0593446672320167,-0.6416666666666666,11
0.3,0.310236868876015,-0.3680710606628045,6
0.3,0.19959302122615685,-0.35,6
0.3,0.21288031525530426,-0.2916666666666667,5
0.3,0.09007293516492854,-0.2333333333333333,4
0.3,0.20036608478191653,-0.175,3
0.3,0.1030099373101242,-0.4083333333333333,7
0.3,0.14897154404842372,-0.4083333333333333,7
0.3,0.11568210096592169,-0.2333333333333333,4
0.3,0.17085424768265522,-0.2333333333333333,4
0.3,0.378659399572999,-0.271931153205233,4
0.3,0.35899251776501295,-0.38269775532950384,6
0.3,0.07470802683816113,-0.35,6
0.3,0.07155363936751191,-0.4666666666666666,8
0.3,0.9394896498108463,-0.42223151032786926,4
0.3,0.9394896498108463,-0.6376161257124846,8
0.3,0.24980936013667854,-0.3230769230769231,6
0.3,0.8846850956852224,-0.5134824517824899,6
0.3,0.9680567115073361,-0.5384939365291239,6
0.3,0.9680567115073361,-0.48464778268297004,5
0.3,0.9826408586840785,-0.4351768729898389,4
0.3,0.8846850956852224,-0.6211747594747975,8
0.3,0.10448995667162086,-0.5384615384615384,10
0.3,0.13860775127558567,-0.48461538461538456,9
0.3,0.1386589090293462,-0.4307692307692308,8
0.3,0.9826408586840785,-0.5428691806821466,6
0.3,0.9398289956970705,-0.583871775632198,7
0.3,0.9826408586840785,-0.6505614883744544,8
0.3,0.9826408586840785,-0.48902302683599275,5
0.3,0.9680567115073361,-0.5384939365291239,6
0.3,0.9680567115073361,-0.5923400903752777,7
0.3,0.9826408586840785,-0.48902302683599275,5
0.3,0.8846850956852224,-0.6211747594747975,8
0.3,0.8846850956852224,-0.6211747594747975,8
0.3,0.9826408586840785,-0.4351768729898389,4
0.3,0.8846850956852224,-0.5673286056286435,7
0.3,0.13514845205100667,-0.4307692307692308,8
0.3,0.8846850956852224,-0.7288670671671051,10
0.3,0.9826408586840785,-0.5428691806821466,6
0.3,0.1689864093151694,-0.37692307692307686,7
0.3,0.9394896498108463,-0.529923818020177,6
0.3,0.8846850956852224,-0.5673286056286435,7
0.3,0.9394896498108463,-0.529923818020177,6
0.3,0.9680567115073361,-0.48464778268297004,5
0.3,0.12744625720955838,-0.37692307692307686,7
0.3,0.8846850956852224,-0.6211747594747975,8
0.3,0.8846850956852224,-0.6211747594747975,8
0.3,0.9826408586840785,-0.48902302683599275,5
0.3,0.8846850956852224,-0.4596362979363359,5
0.3,0.9680567115073361,-0.5384939365291239,6
0.3,0.9394896498108463,-0.42223151032786926,4
0.3,0.16535818757381193,-0.5384615384615384,10
0.3,0.08907123541814055,-0.5384615384615384,10
0.3,0.06676260648713994,-0.48461538461538456,9
0.3,0.13514845205100667,-0.3230769230769231,6
0.3,0.9826408586840785,-0.4351768729898389,4
0.3,0.9826408586840785,-0.6505614883744544,8
0.3,0.1796692951326263,-0.4307692307692308,8
0.3,0.8846850956852224,-0.5673286056286435,7
0.3,0.9394896498108463,-0.529923818020177,6
0.3,0.13514845205100667,-0.4307692307692308,8
0.3,0.9680567115073361,-0.48464778268297004,5
0.3,0.18094116044347042,-0.4307692307692308,8
0.3,0.9826408586840785,-0.5428691806821466,6
0.3,0.8846850956852224,-0.5673286056286435,7
