dataset,target_attr,tau,mask_size,avg_leakage,num_masks
adult,education,0.2,4,0.0,210
adult,education,0.2,5,0.0,252
adult,education,0.2,6,0.0,210
adult,education,0.2,7,0.0,120
adult,education,0.2,8,0.0,45
adult,education,0.2,9,0.0,10
adult,education,0.2,10,0.0,1
adult,education,0.3,0,0.9999624611160766,1
adult,education,0.3,1,0.6996486467911073,10
adult,education,0.3,2,0.46595423478451625,45
adult,education,0.3,3,0.29083349921691914,120
adult,education,0.3,4,0.16596055804879836,210
adult,education,0.3,5,0.08288235100144842,252
adult,education,0.3,6,0.03312910338688562,210
adult,education,0.3,7,0.008282275846721405,120
adult,education,0.3,8,0.0,45
adult,education,0.3,9,0.0,10
adult,education,0.3,10,0.0,1
adult,education,0.4,0,1.0,1
adult,education,0.4,1,0.8,10
adult,education,0.4,2,0.622222222222168,45
adult,education,0.4,3,0.46666660393918424,120
adult,education,0.4,4,0.3333138327933609,210
adult,education,0.4,5,0.22215751912441792,252
adult,education,0.4,6,0.1332170469784899,210
adult,education,0.4,7,0.06653110379836484,120
adult,education,0.4,8,0.02213188879495514,45
adult,education,0.4,9,0.0,10
adult,education,0.4,10,0.0,1
adult,education,0.5,0,0.0,1
adult,education,0.5,1,0.0,10
adult,education,0.5,2,0.0,45
adult,education,0.5,3,0.0,120
adult,education,0.5,4,0.0,210
adult,education,0.5,5,0.0,252
adult,education,0.5,6,0.0,210
adult,education,0.5,7,0.0,120
adult,education,0.5,8,0.0,45
adult,education,0.5,9,0.0,10
adult,education,0.5,10,0.0,1
adult,education,0.6,0,0.0,1
adult,education,0.6,1,0.0,10
adult,education,0.6,2,0.0,45
adult,education,0.6,3,0.0,120
adult,education,0.6,4,0.0,210
adult,education,0.6,5,0.0,252
adult,education,0.6,6,0.0,210
adult,education,0.6,7,0.0,120
adult,education,0.6,8,0.0,45
adult,education,0.6,9,0.0,10
adult,education,0.6,10,0.0,1
adult,education,0.7,0,0.0,1
adult,education,0.7,1,0.0,10
adult,education,0.7,2,0.0,45
adult,education,0.7,3,0.0,120
adult,education,0.7,4,0.0,210
adult,education,0.7,5,0.0,252
adult,education,0.7,6,0.0,210
adult,education,0.7,7,0.0,120
adult,education,0.7,8,0.0,45
adult,education,0.7,9,0.0,10
adult,education,0.7,10,0.0,1
adult,education,0.8,0,0.0,1
adult,education,0.8,1,0.0,10
adult,education,0.8,2,0.0,45
adult,education,0.8,3,0.0,120
adult,education,0.8,4,0.0,210
adult,education,0.8,5,0.0,252
adult,education,0.8,6,0.0,210
adult,education,0.8,7,0.0,120
adult,education,0.8,8,0.0,45
adult,education,0.8,9,0.0,10
adult,education,0.8,10,0.0,1
adult,education,0.9,0,0.0,1
adult,education,0.9,1,0.0,10
adult,education,0.9,2,0.0,45
adult,education,0.9,3,0.0,120
adult,education,0.9,4,0.0,210
adult,education,0.9,5,0.0,252
adult,education,0.9,6,0.0,210
adult,education,0.9,7,0.0,120
adult,education,0.9,8,0.0,45
adult,education,0.9,9,0.0,10
adult,education,0.9,10,0.0,1
adult,education,1.0,0,0.0,1
adult,education,1.0,1,0.0,10
adult,education,1.0,2,0.0,45
adult,education,1.0,3,0.0,120
adult,education,1.0,4,0.0,210
adult,education,1.0,5,0.0,252
adult,education,1.0,6,0.0,210
adult,education,1.0,7,0.0,120
adult,education,1.0,8,0.0,45
adult,education,1.0,9,0.0,10
adult,education,1.0,10,0.0,1
Onlineretail,InvoiceNo,0.1,0,1.0,1
Onlineretail,InvoiceNo,0.1,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.1,2,0.5714285714285714,21
Onlineretail,InvoiceNo,0.1,3,0.2857142857142857,35
Onlineretail,InvoiceNo,0.1,4,0.08571428571428572,35
Onlineretail,InvoiceNo,0.1,5,0.0,21
Onlineretail,InvoiceNo,0.1,6,0.0,7
Onlineretail,InvoiceNo,0.1,7,0.0,1
Onlineretail,InvoiceNo,0.2,0,1.0,1
Onlineretail,InvoiceNo,0.2,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.2,2,0.5714285714285714,21
Onlineretail,InvoiceNo,0.2,3,0.2857142857142857,35
Onlineretail,InvoiceNo,0.2,4,0.08571428571428572,35
Onlineretail,InvoiceNo,0.2,5,0.0,21
Onlineretail,InvoiceNo,0.2,6,0.0,7
Onlineretail,InvoiceNo,0.2,7,0.0,1
Onlineretail,InvoiceNo,0.3,0,1.0,1
Onlineretail,InvoiceNo,0.3,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.3,2,0.5714285714285714,21
