lambda,leakage,utility,mask_size
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
lambda,leakage,utility,mask_size
0.15,1.0,-0.2633333333333333,2
0.15,0.0,-0.4533333333333333,8
0.15,1.0,-0.20666666666666667,1
0.15,1.0,-0.15,0
0.15,1.0,-0.31999999999999995,3
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.2633333333333333,2
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.20666666666666667,1
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.15,0
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.2633333333333333,2
0.15,1.0,-0.20666666666666667,1
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.2633333333333333,2
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.6033333333333333,8
0.15,0.0,-0.51,9
0.15,1.0,-0.5466666666666666,7
0.15,1.0,-0.5466666666666666,7
0.15,0.0,-0.6233333333333333,11
0.15,0.0,-0.33999999999999997,6
0.15,1.0,-0.5466666666666666,7
0.15,1.0,-0.20666666666666667,1
0.15,0.0,-0.4533333333333333,8
0.15,1.0,-0.15,0
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.15,0
0.15,1.0,-0.49,6
0.15,0.0,-0.4533333333333333,8
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.20666666666666667,1
0.15,1.0,-0.20666666666666667,1
0.15,0.0,-0.51,9
0.15,1.0,-0.2633333333333333,2
0.15,1.0,-0.49,6
0.15,1.0,-0.49,6
0.15,1.0,-0.5466666666666666,7
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.43333333333333335,5
0.15,1.0,-0.49,6
0.15,1.0,-0.5466666666666666,7
0.15,1.0,-0.37666666666666665,4
0.15,1.0,-0.20666666666666667,1
0.15,1.0,-0.15,0
0.15,1.0,-0.6458333333333334,7
0.15,1.0,-0.6458333333333334,7
0.15,1.0,-0.575,6
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.5041666666666667,5
0.15,1.0,-0.3625,3
0.15,1.0,-0.29166666666666663,2
0.15,1.0,-0.15,0
0.15,1.0,-0.575,6
0.15,1.0,-0.15,0
0.15,1.0,-0.22083333333333333,1
0.15,1.0,-0.575,6
0.15,1.0,-0.22083333333333333,1
0.15,1.0,-0.43333333333333335,4
0.15,1.0,-0.3625,3
0.15,1.0,-0.15,0
0.15,1.0,-0.7166666666666667,8
0.15,1.0,-0.15,0
0.15,1.0,-0.29166666666666663,2
0.15,1.0,-0.22083333333333333,1
0.15,1.0,-0.29166666666666663,2
0.15,1.0,-0.7166666666666667,8
0.15,1.0,-0.15,0
0.15,1.0,-0.6458333333333334,7
0.15,1.0,-0.3625,3
0.15,1.0,-0.3625,3
0.15,1.0,-0.575,6
0.15,1.0,-0.29166666666666663,2
0.15,1.0,-0.7166666666666667,8
0.15,1.0,-0.22083333333333333,1
0.15,1.0,-0.6458333333333334,7
0.15,1.0,-0.15,0
0.15,1.0,-0.43333333333333335,4
0.15,1.0,-0.15,0
0.15,1.0,-0.22083333333333333,1
0.15,1.0,-0.15,0
0.15,1.0,-0.6458333333333334,7
0.15,1.0,-0.15,0
0.15,1.0,-0.8583333333333334,10
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.5041666666666667,5
0.15,1.0,-0.3625,3
0.15,1.0,-0.3625,3
0.15,1.0,-0.3625,3
0.15,1.0,-0.29166666666666663,2
0.15,1.0,-0.7166666666666667,8
0.15,1.0,-0.15,0
0.15,1.0,-0.4,5
0.15,1.0,-0.15,0
0.15,1.0,-0.25,2
0.15,1.0,-0.5499999999999999,8
0.15,1.0,-0.65,10
0.15,1.0,-0.19999999999999998,1
0.15,1.0,-0.75,12
0.15,1.0,-0.3,3
0.15,1.0,-0.15,0
0.15,1.0,-0.25,2
0.15,1.0,-0.75,12
0.15,1.0,-0.5,7
0.15,1.0,-0.5,7
0.15,1.0,-0.19999999999999998,1
0.15,1.0,-0.44999999999999996,6
0.15,1.0,-0.3,3
0.15,1.0,-0.8500000000000001,14
0.15,1.0,-0.5499999999999999,8
0.15,1.0,-0.25,2
0.15,1.0,-0.5,7
0.15,1.0,-0.25,2
0.15,1.0,-0.35,4
0.15,1.0,-0.19999999999999998,1
0.15,1.0,-0.7999999999999999,13
0.15,1.0,-0.5,7
0.15,1.0,-0.15,0
0.15,1.0,-0.8500000000000001,14
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.35,4
0.15,1.0,-0.8500000000000001,14
0.15,1.0,-0.5,7
0.15,1.0,-0.8500000000000001,14
0.15,1.0,-0.19999999999999998,1
0.15,1.0,-0.6,9
0.15,1.0,-0.5499999999999999,8
0.15,1.0,-0.35,4
0.15,1.0,-0.15,0
0.15,1.0,-0.44999999999999996,6
0.15,1.0,-0.6,9
0.15,1.0,-0.25,2
0.15,1.0,-0.15,0
0.15,1.0,-0.35,4
0.15,1.0,-0.65,10
0.15,1.0,-0.19999999999999998,1
0.15,1.0,-0.8500000000000001,14
0.15,1.0,-0.8500000000000001,14
0.15,1.0,-0.6,9
0.15,1.0,-0.25,2
0.15,1.0,-0.25,2
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.39285714285714285,2
0.15,1.0,-0.15,0
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,9.999778782798785e-13,-0.36428571428586426,3
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,9.999778782798785e-13,-0.4857142857144357,4
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.15,0
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.15,0
0.15,1.0,-0.39285714285714285,2
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.2714285714285714,1
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.235,1
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.31999999999999995,2
0.15,1.0,-0.15,0
0.15,1.0,-0.31999999999999995,2
0.15,1.0,-0.235,1
0.15,1.0,-0.15,0
