beta,leakage,utility,mask_size
3.0,1.0,-25.0,8
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-25.0,8
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-13.0,4
3.0,9.999778782798785e-13,-15.000000000001,5
3.0,0.0,-18.0,6
3.0,9.999778782798785e-13,-15.000000000001,5
3.0,0.0,-18.0,6
3.0,1.0,-1.0,0
3.0,0.0,-18.0,6
3.0,0.0,-12.0,4
3.0,0.0,-21.0,7
3.0,0.0,-21.0,7
3.0,0.0,-24.0,8
3.0,0.0,-15.0,5
3.0,0.0,-30.0,10
3.0,0.0,-30.0,10
3.0,0.0,-27.0,9
3.0,0.0,-24.0,8
3.0,0.0,-30.0,10
3.0,0.0,-27.0,9
3.0,1.0,-7.0,2
3.0,0.0,-24.0,8
beta,leakage,utility,mask_size
3.5,0.0,-35.0,10
3.5,0.0,-35.0,10
3.5,1.0,-29.0,8
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,0.0,-35.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-32.5,9
3.5,1.0,-22.0,6
3.5,1.0,-11.5,3
3.5,1.0,-36.0,10
3.5,1.0,-32.5,9
3.5,1.0,-11.5,3
3.5,1.0,-8.0,2
3.5,1.0,-15.0,4
3.5,1.0,-29.0,8
3.5,1.0,-22.0,6
3.5,1.0,-29.0,8
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,1.0,-36.0,10
3.5,0.0,-24.5,7
3.5,0.0,-14.0,4
3.5,9.999778782798785e-13,-17.500000000001,5
3.5,1.0,-8.0,2
3.5,1.0,-11.5,3
3.5,0.0,-17.5,5
3.5,1.0,-15.0,4
3.5,0.0,-24.5,7
3.5,1.0,-11.5,3
3.5,9.999778782798785e-13,-17.500000000001,5
3.5,0.0,-28.0,8
3.5,0.0,-28.0,8
3.5,0.0,-31.5,9
3.5,0.0,-31.5,9
3.5,1.0,-8.0,2
3.5,0.0,-17.5,5
3.5,0.0,-21.0,6
3.5,1.0,-22.0,6
3.5,0.0,-35.0,10
3.5,0.0,-35.0,10
beta,leakage,utility,mask_size
4.0,1.0,-13.0,3
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
