dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
tax,marital_status,1.0,1.0,8,26,"{married_exemp,single_exemp}",2,0.0,7,19,0,0,0,4.315376281738281e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,state}",2,0.999999951453985,12,14,24,1,23,0.00018477439880371094
tax,marital_status,1.0,1.0,8,26,"{rate,salary}",2,0.9999999816315241,24,2,13,13,0,6.389617919921875e-05
tax,marital_status,1.0,1.0,8,26,"{rate,single_exemp}",2,0.9999919879141247,15,11,13,2,11,8.797645568847656e-05
tax,marital_status,1.0,1.0,8,26,"{rate,state}",2,0.9999999784187116,21,5,17,9,8,9.703636169433594e-05
tax,marital_status,1.0,1.0,8,26,"{salary,single_exemp}",2,0.9999919879141247,15,11,13,2,11,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{salary,state}",2,0.9999999784187116,21,5,17,9,8,8.797645568847656e-05
tax,marital_status,1.0,1.0,8,26,"{single_exemp,state}",2,0.9999997570261033,12,14,22,1,21,8.893013000488281e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child}",3,0.9999999449377798,20,6,13,11,2,6.29425048828125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp}",3,0.9999999992591103,13,13,33,3,30,0.00013589859008789062
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate}",3,0.9999999959833176,22,4,19,11,8,0.000125885009765625
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary}",3,0.9999999959833176,22,4,19,11,8,0.00012493133544921875
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,single_exemp}",3,0.9999999996353405,11,15,37,1,36,0.00013971328735351562
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,state}",3,0.999999999906593,15,11,31,7,24,0.0001361370086669922
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp}",3,0.9999999992591103,13,13,33,3,30,0.00013184547424316406
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate}",3,0.9999999959833176,22,4,19,11,8,0.00012493133544921875
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary}",3,0.9999999959833176,22,4,19,11,8,0.00011968612670898438
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,single_exemp}",3,0.9999999996353405,11,15,37,1,36,0.00012493133544921875
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,state}",3,0.999999999906593,15,11,31,7,24,0.00013303756713867188
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate}",3,0.9999999988989156,13,13,33,3,30,0.00012493133544921875
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary}",3,0.9999999988989156,13,13,33,3,30,0.00012111663818359375
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,single_exemp}",3,0.0,7,19,0,0,0,5.626678466796875e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,state}",3,0.9999999999974495,8,18,48,0,48,0.00015306472778320312
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary}",3,0.9999999449377798,22,4,13,11,2,6.413459777832031e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,single_exemp}",3,0.9999999994200254,11,15,37,1,36,0.0001289844512939453
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,state}",3,0.9999999998755963,17,9,31,7,24,0.00013017654418945312
tax,marital_status,1.0,1.0,8,26,"{area_code,salary,single_exemp}",3,0.9999999994200254,11,15,37,1,36,0.00011992454528808594
tax,marital_status,1.0,1.0,8,26,"{area_code,salary,state}",3,0.9999999998755963,17,9,31,7,24,0.0001270771026611328
tax,marital_status,1.0,1.0,8,26,"{area_code,single_exemp,state}",3,0.9999999999636703,8,18,44,0,44,0.00014591217041015625
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp}",3,0.9999972732089933,13,13,13,4,9,6.198883056640625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate}",3,0.9999999816315241,22,4,13,13,0,5.507469177246094e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,salary}",3,0.9999999816315241,22,4,13,13,0,5.1975250244140625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,single_exemp}",3,0.9999919879141247,11,15,13,2,11,5.817413330078125e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,state}",3,0.9999998342179242,18,8,13,9,4,5.507469177246094e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate}",3,0.9999972732089933,17,9,13,4,9,8.606910705566406e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,salary}",3,0.9999972732089933,17,9,13,4,9,8.487701416015625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,single_exemp}",3,0.0,7,19,0,0,0,4.982948303222656e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,state}",3,0.9999999998866096,9,17,39,1,38,0.00013113021850585938
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,salary}",3,0.9999999816315241,24,2,13,13,0,5.4836273193359375e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,single_exemp}",3,0.9999919879141247,15,11,13,2,11,8.296966552734375e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,state}",3,0.9999999993770129,18,8,25,9,16,0.0001239776611328125
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary,single_exemp}",3,0.9999919879141247,15,11,13,2,11,8.130073547363281e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary,state}",3,0.9999999993770129,18,8,25,9,16,0.0001289844512939453
tax,marital_status,1.0,1.0,8,26,"{child_exemp,single_exemp,state}",3,0.9999999983723653,9,17,35,1,34,0.0001270771026611328
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate}",3,0.9999972732089933,17,9,13,4,9,8.487701416015625e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,salary}",3,0.9999972732089933,17,9,13,4,9,8.296966552734375e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,single_exemp}",3,0.0,7,19,0,0,0,5.0067901611328125e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,state}",3,0.9999999998866096,9,17,39,1,38,0.00012803077697753906
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,salary}",3,0.9999999816315241,24,2,13,13,0,5.507469177246094e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,single_exemp}",3,0.9999919879141247,15,11,13,2,11,8.392333984375e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,state}",3,0.9999999993770129,18,8,25,9,16,0.0001239776611328125
tax,marital_status,1.0,1.0,8,26,"{has_child,salary,single_exemp}",3,0.9999919879141247,15,11,13,2,11,8.082389831542969e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,salary,state}",3,0.9999999993770129,18,8,25,9,16,0.0001277923583984375
tax,marital_status,1.0,1.0,8,26,"{has_child,single_exemp,state}",3,0.9999999983723653,9,17,35,1,34,0.00012493133544921875
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,salary}",3,0.9999972732089933,15,11,13,4,9,8.7738037109375e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,single_exemp}",3,0.0,7,19,0,0,0,6.103515625e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,state}",3,0.9999999998563416,11,15,39,1,38,0.000141143798828125
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary,single_exemp}",3,0.0,7,19,0,0,0,5.1021575927734375e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary,state}",3,0.9999999998563416,11,15,39,1,38,0.00012803077697753906
tax,marital_status,1.0,1.0,8,26,"{married_exemp,single_exemp,state}",3,0.0,7,19,0,0,0,5.3882598876953125e-05
tax,marital_status,1.0,1.0,8,26,"{rate,salary,single_exemp}",3,0.9999919879141247,13,13,13,2,11,6.103515625e-05
tax,marital_status,1.0,1.0,8,26,"{rate,salary,state}",3,0.9999998342179242,20,6,13,9,4,5.793571472167969e-05
tax,marital_status,1.0,1.0,8,26,"{rate,single_exemp,state}",3,0.999999998013651,11,15,35,1,34,0.000125885009765625
tax,marital_status,1.0,1.0,8,26,"{salary,single_exemp,state}",3,0.999999998013651,11,15,35,1,34,0.00012803077697753906
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp}",4,0.9999999510084667,10,16,22,3,19,9.393692016601562e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate}",4,0.9999999783617007,19,7,15,11,4,8.392333984375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,salary}",4,0.9999999783617007,19,7,15,11,4,7.891654968261719e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,single_exemp}",4,0.9999999501717762,8,18,24,1,23,8.916854858398438e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,state}",4,0.9999999797335785,15,11,19,7,12,8.440017700195312e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate}",4,0.9999999999988478,12,14,55,3,52,0.0002193450927734375
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,salary}",4,0.9999999999988478,12,14,55,3,52,0.00019788742065429688
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,single_exemp}",4,0.0,6,20,0,0,0,6.818771362304688e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,state}",4,1.0,4,22,89,0,89,0.0002601146697998047
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,salary}",4,0.9999999805100248,21,5,15,11,4,8.392333984375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,single_exemp}",4,0.9999999999998154,10,16,63,1,62,0.0002009868621826172
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,state}",4,0.9999999999999838,13,13,55,7,48,0.00022912025451660156
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary,single_exemp}",4,0.9999999999998154,10,16,63,1,62,0.00019407272338867188
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary,state}",4,0.9999999999999838,13,13,55,7,48,0.0002243518829345703
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,single_exemp,state}",4,0.9999999999999998,4,22,81,0,81,0.00025582313537597656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate}",4,0.9999999999988478,12,14,55,3,52,0.0001990795135498047
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,salary}",4,0.9999999999988478,12,14,55,3,52,0.0001919269561767578
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,single_exemp}",4,0.0,6,20,0,0,0,6.389617919921875e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,state}",4,1.0,4,22,89,0,89,0.0002529621124267578
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,salary}",4,0.9999999805100248,21,5,15,11,4,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,single_exemp}",4,0.9999999999998154,10,16,63,1,62,0.00019407272338867188
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,state}",4,0.9999999999999838,13,13,55,7,48,0.00022673606872558594
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary,single_exemp}",4,0.9999999999998154,10,16,63,1,62,0.00019288063049316406
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary,state}",4,0.9999999999999838,13,13,55,7,48,0.0002238750457763672
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,single_exemp,state}",4,0.9999999999999998,4,22,81,0,81,0.0002429485321044922
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,salary}",4,0.9999999510084667,12,14,22,3,19,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,single_exemp}",4,0.0,6,20,0,0,0,7.319450378417969e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,state}",4,1.0,6,20,89,0,89,0.00024390220642089844
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary,single_exemp}",4,0.0,6,20,0,0,0,5.888938903808594e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary,state}",4,1.0,6,20,89,0,89,0.00024175643920898438
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,single_exemp,state}",4,0.0,6,20,0,0,0,6.29425048828125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary,single_exemp}",4,0.9999999501717762,10,16,24,1,23,8.58306884765625e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary,state}",4,0.9999999797335785,17,9,19,7,12,8.606910705566406e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,single_exemp,state}",4,0.9999999999999998,6,20,81,0,81,0.00023484230041503906
tax,marital_status,1.0,1.0,8,26,"{area_code,salary,single_exemp,state}",4,0.9999999999999998,6,20,81,0,81,0.00023126602172851562
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,rate}",4,0.9999972732089933,13,13,13,4,9,7.510185241699219e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,salary}",4,0.9999972732089933,13,13,13,4,9,6.985664367675781e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,single_exemp}",4,0.0,3,23,0,0,0,4.506111145019531e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,state}",4,0.999999951453985,8,18,24,1,23,8.606910705566406e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate,salary}",4,0.9999999816315241,20,6,13,13,0,4.291534423828125e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate,single_exemp}",4,0.9999919879141247,11,15,13,2,11,7.009506225585938e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate,state}",4,0.9999999784187116,17,9,17,9,8,7.891654968261719e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,salary,single_exemp}",4,0.9999919879141247,11,15,13,2,11,6.723403930664062e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,salary,state}",4,0.9999999784187116,17,9,17,9,8,8.082389831542969e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,single_exemp,state}",4,0.9999997570261033,8,18,22,1,21,8.082389831542969e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate,salary}",4,0.9999972732089933,15,11,13,4,9,7.200241088867188e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate,single_exemp}",4,0.0,7,19,0,0,0,5.793571472167969e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate,state}",4,0.9999999999999944,8,18,69,1,68,0.0002009868621826172
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,salary,single_exemp}",4,0.0,7,19,0,0,0,5.7220458984375e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,salary,state}",4,0.9999999999999944,8,18,69,1,68,0.0002009868621826172
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,single_exemp,state}",4,0.0,4,22,0,0,0,6.794929504394531e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,salary,single_exemp}",4,0.9999919879141247,13,13,13,2,11,7.104873657226562e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,salary,state}",4,0.9999999803396203,17,9,17,9,8,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,single_exemp,state}",4,0.9999999999995551,8,18,61,1,60,0.00019216537475585938
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary,single_exemp,state}",4,0.9999999999995551,8,18,61,1,60,0.00019788742065429688
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate,salary}",4,0.9999972732089933,15,11,13,4,9,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate,single_exemp}",4,0.0,7,19,0,0,0,5.817413330078125e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate,state}",4,0.9999999999999944,8,18,69,1,68,0.00021195411682128906
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,salary,single_exemp}",4,0.0,7,19,0,0,0,5.817413330078125e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,salary,state}",4,0.9999999999999944,8,18,69,1,68,0.0001990795135498047
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,single_exemp,state}",4,0.0,4,22,0,0,0,6.604194641113281e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,salary,single_exemp}",4,0.9999919879141247,13,13,13,2,11,7.390975952148438e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,salary,state}",4,0.9999999803396203,17,9,17,9,8,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,single_exemp,state}",4,0.9999999999995551,8,18,61,1,60,0.00019621849060058594
tax,marital_status,1.0,1.0,8,26,"{has_child,salary,single_exemp,state}",4,0.9999999999995551,8,18,61,1,60,0.0002002716064453125
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,salary,single_exemp}",4,0.0,5,21,0,0,0,4.410743713378906e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,salary,state}",4,0.999999951453985,10,16,24,1,23,9.107589721679688e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,single_exemp,state}",4,0.0,6,20,0,0,0,6.222724914550781e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary,single_exemp,state}",4,0.0,6,20,0,0,0,5.91278076171875e-05
tax,marital_status,1.0,1.0,8,26,"{rate,salary,single_exemp,state}",4,0.9999997570261033,10,16,22,1,21,8.606910705566406e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,rate}",5,0.9999999989000038,9,17,33,3,30,0.00013017654418945312
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,salary}",5,0.9999999989000038,9,17,33,3,30,0.00012493133544921875
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,single_exemp}",5,0.0,3,23,0,0,0,5.817413330078125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,state}",5,0.9999999999961022,4,22,48,0,48,0.000141143798828125
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate,salary}",5,0.9999999449377798,18,8,13,11,2,5.793571472167969e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate,single_exemp}",5,0.9999999994207116,7,19,37,1,36,0.00011992454528808594
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate,state}",5,0.9999999998755963,13,13,31,7,24,0.00012183189392089844
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,salary,single_exemp}",5,0.9999999994207116,7,19,37,1,36,0.00011801719665527344
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,salary,state}",5,0.9999999998755963,13,13,31,7,24,0.0001220703125
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,single_exemp,state}",5,0.9999999999539485,4,22,44,0,44,0.00013208389282226562
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate,salary}",5,0.9999999992598748,11,15,33,3,30,0.00012803077697753906
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate,single_exemp}",5,0.0,5,21,0,0,0,8.20159912109375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate,state}",5,1.0,2,24,139,0,139,0.0002799034118652344
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,salary,single_exemp}",5,0.0,5,21,0,0,0,7.987022399902344e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,salary,state}",5,1.0,2,24,139,0,139,0.00027489662170410156
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,single_exemp,state}",5,0.0,2,24,0,0,0,8.821487426757812e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,salary,single_exemp}",5,0.9999999996357909,9,17,37,1,36,0.00013494491577148438
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,salary,state}",5,0.9999999999032484,13,13,31,7,24,0.00013709068298339844
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,single_exemp,state}",5,1.0,2,24,139,0,139,0.000286102294921875
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary,single_exemp,state}",5,1.0,2,24,139,0,139,0.00029397010803222656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate,salary}",5,0.9999999992591103,11,15,33,3,30,0.00012874603271484375
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate,single_exemp}",5,0.0,5,21,0,0,0,8.106231689453125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate,state}",5,1.0,2,24,139,0,139,0.0002770423889160156
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,salary,single_exemp}",5,0.0,5,21,0,0,0,7.82012939453125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,salary,state}",5,1.0,2,24,139,0,139,0.0002720355987548828
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,single_exemp,state}",5,0.0,2,24,0,0,0,8.296966552734375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,salary,single_exemp}",5,0.9999999996357909,9,17,37,1,36,0.0001251697540283203
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,salary,state}",5,0.9999999999032484,13,13,31,7,24,0.00013208389282226562
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,single_exemp,state}",5,1.0,2,24,139,0,139,0.0002751350402832031
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary,single_exemp,state}",5,1.0,2,24,139,0,139,0.0002713203430175781
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,salary,single_exemp}",5,0.0,5,21,0,0,0,4.982948303222656e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,salary,state}",5,0.9999999999974523,6,20,48,0,48,0.00014591217041015625
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,single_exemp,state}",5,0.0,4,22,0,0,0,8.082389831542969e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary,single_exemp,state}",5,0.0,4,22,0,0,0,7.700920104980469e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary,single_exemp,state}",5,0.99999999996371,6,20,44,0,44,0.0001399517059326172
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,rate,salary}",5,0.9999972732089933,11,15,13,4,9,6.127357482910156e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,rate,single_exemp}",5,0.0,3,23,0,0,0,4.887580871582031e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,rate,state}",5,0.9999999998563416,7,19,39,1,38,0.00012421607971191406
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,salary,single_exemp}",5,0.0,3,23,0,0,0,4.887580871582031e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,salary,state}",5,0.9999999998563416,7,19,39,1,38,0.00011897087097167969
