dataset,target_cell,tau,rho,mask_size,leakage
airport,home_link,0.4,1.0,3,0.161621
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.139417
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.159801
airport,home_link,0.4,1.0,3,0.154294
airport,home_link,0.4,1.0,3,0.146635
airport,home_link,0.4,1.0,3,0.102061
airport,home_link,0.4,1.0,3,0.148869
airport,home_link,0.4,1.0,3,0.152543
airport,home_link,0.4,1.0,3,0.116626
airport,home_link,0.4,1.0,3,0.154397
airport,home_link,0.4,1.0,3,0.078069
airport,home_link,0.4,1.0,3,0.146866
airport,home_link,0.4,1.0,3,0.105457
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.160319
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.135450
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.158242
airport,home_link,0.4,1.0,3,0.143721
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.161575
airport,home_link,0.4,1.0,3,0.139289
airport,home_link,0.4,1.0,4,0.169847
airport,home_link,0.4,1.0,4,0.127847
airport,home_link,0.4,1.0,4,0.169782
airport,home_link,0.4,1.0,4,0.170003
airport,home_link,0.4,1.0,4,0.167703
airport,home_link,0.4,1.0,4,0.149768
airport,home_link,0.4,1.0,4,0.169842
airport,home_link,0.4,1.0,4,0.119007
airport,home_link,0.4,1.0,4,0.169616
airport,home_link,0.4,1.0,4,0.169847
airport,home_link,0.4,1.0,4,0.167473
airport,home_link,0.4,1.0,4,0.147179
airport,home_link,0.4,1.0,4,0.169678
airport,home_link,0.4,1.0,4,0.118823
airport,home_link,0.4,1.0,4,0.127847
airport,home_link,0.4,1.0,4,0.114678
airport,home_link,0.4,1.0,4,0.048268
airport,home_link,0.4,1.0,4,0.118662
airport,home_link,0.4,1.0,4,0.169782
airport,home_link,0.4,1.0,4,0.167363
airport,home_link,0.4,1.0,4,0.145319
airport,home_link,0.4,1.0,4,0.169610
airport,home_link,0.4,1.0,4,0.167703
airport,home_link,0.4,1.0,4,0.149768
airport,home_link,0.4,1.0,4,0.169842
airport,home_link,0.4,1.0,4,0.126993
airport,home_link,0.4,1.0,4,0.167465
airport,home_link,0.4,1.0,4,0.147085
airport,home_link,0.4,1.0,4,0.124473
airport,home_link,0.4,1.0,4,0.169677
airport,home_link,0.4,1.0,4,0.169914
airport,home_link,0.4,1.0,4,0.167591
