dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,state}",3,0.9999875570155988,17,9,31,7,24,0.00015091896057128906
tax,marital_status,1.0,1.0,8,26,"{area_code,salary,single_exemp}",3,0.9497300713245109,11,15,37,1,36,0.00013899803161621094
tax,marital_status,1.0,1.0,8,26,"{area_code,salary,state}",3,0.9999875570155988,17,9,31,7,24,0.00014495849609375
tax,marital_status,1.0,1.0,8,26,"{area_code,single_exemp,state}",3,0.9116696245044189,8,18,44,0,44,0.00017523765563964844
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp}",3,0.9980115249249355,13,13,13,4,9,7.104873657226562e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate}",3,0.9999999816315241,22,4,13,13,0,6.079673767089844e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,salary}",3,0.9999999816315241,22,4,13,13,0,5.817413330078125e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,single_exemp}",3,0.9704802186671765,11,15,13,2,11,6.818771362304688e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,state}",3,0.9999981354364993,18,8,13,9,4,6.413459777832031e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate}",3,0.9980115249249355,17,9,13,4,9,9.703636169433594e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,salary}",3,0.9980115249249355,17,9,13,4,9,8.988380432128906e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,single_exemp}",3,0.0,7,19,0,0,0,5.1975250244140625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,state}",3,0.9485893796622411,9,17,39,1,38,0.00015497207641601562
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,salary}",3,0.9999999816315241,24,2,13,13,0,6.198883056640625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,single_exemp}",3,0.9704802186671765,15,11,13,2,11,9.417533874511719e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,state}",3,0.9999981354364993,18,8,25,9,16,0.00014281272888183594
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary,single_exemp}",3,0.9704802186671765,15,11,13,2,11,9.083747863769531e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary,state}",3,0.9999981354364993,18,8,25,9,16,0.00013709068298339844
tax,marital_status,1.0,1.0,8,26,"{child_exemp,single_exemp,state}",3,0.9486098404942003,9,17,35,1,34,0.00014519691467285156
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate}",3,0.9980115249249355,17,9,13,4,9,9.393692016601562e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,salary}",3,0.9980115249249355,17,9,13,4,9,9.083747863769531e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,single_exemp}",3,0.0,7,19,0,0,0,5.1975250244140625e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,state}",3,0.9485893796622411,9,17,39,1,38,0.00014901161193847656
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,salary}",3,0.9999999816315241,24,2,13,13,0,6.175041198730469e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,single_exemp}",3,0.9704802186671765,15,11,13,2,11,9.179115295410156e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,state}",3,0.9999981354364993,18,8,25,9,16,0.00013899803161621094
tax,marital_status,1.0,1.0,8,26,"{has_child,salary,single_exemp}",3,0.9704802186671765,15,11,13,2,11,8.916854858398438e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,salary,state}",3,0.9999981354364993,18,8,25,9,16,0.00013589859008789062
tax,marital_status,1.0,1.0,8,26,"{has_child,single_exemp,state}",3,0.9486098404942003,9,17,35,1,34,0.0001437664031982422
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,salary}",3,0.9980115249249355,15,11,13,4,9,6.413459777832031e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,single_exemp}",3,0.0,7,19,0,0,0,5.030632019042969e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,state}",3,0.9485893796622411,11,15,39,1,38,0.00014209747314453125
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary,single_exemp}",3,0.0,7,19,0,0,0,4.9114227294921875e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary,state}",3,0.9485893796622411,11,15,39,1,38,0.00014019012451171875
tax,marital_status,1.0,1.0,8,26,"{married_exemp,single_exemp,state}",3,0.0,7,19,0,0,0,5.2928924560546875e-05
tax,marital_status,1.0,1.0,8,26,"{rate,salary,single_exemp}",3,0.9704802186671765,13,13,13,2,11,6.604194641113281e-05
tax,marital_status,1.0,1.0,8,26,"{rate,salary,state}",3,0.9999981354364993,20,6,13,9,4,6.413459777832031e-05
tax,marital_status,1.0,1.0,8,26,"{rate,single_exemp,state}",3,0.9486098404942003,11,15,35,1,34,0.0001399517059326172
tax,marital_status,1.0,1.0,8,26,"{salary,single_exemp,state}",3,0.9486098404942003,11,15,35,1,34,0.00013709068298339844
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp}",4,0.9966144209463859,10,16,22,3,19,0.00010275840759277344
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate}",4,0.9999998792599425,19,7,15,11,4,9.298324584960938e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,salary}",4,0.9999998792599425,19,7,15,11,4,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,single_exemp}",4,0.9497300713245109,8,18,24,1,23,9.870529174804688e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,state}",4,0.9999876252933931,15,11,19,7,12,9.703636169433594e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate}",4,0.9966144209463859,12,14,55,3,52,0.00023603439331054688
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,salary}",4,0.9966144209463859,12,14,55,3,52,0.00021600723266601562
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,single_exemp}",4,0.0,6,20,0,0,0,7.700920104980469e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,state}",4,0.8992217018817723,4,22,89,0,89,0.0003268718719482422
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,salary}",4,0.9999998792599425,21,5,15,11,4,0.00010085105895996094
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,single_exemp}",4,0.9497300713245109,10,16,63,1,62,0.00023293495178222656
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,state}",4,0.9999876252933931,13,13,55,7,48,0.00026917457580566406
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary,single_exemp}",4,0.9497300713245109,10,16,63,1,62,0.0002231597900390625
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary,state}",4,0.9999876252933931,13,13,55,7,48,0.0002620220184326172
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,single_exemp,state}",4,0.8992396174440722,4,22,81,0,81,0.0002906322479248047
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate}",4,0.9966144209463859,12,14,55,3,52,0.0002288818359375
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,salary}",4,0.9966144209463859,12,14,55,3,52,0.00021791458129882812
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,single_exemp}",4,0.0,6,20,0,0,0,6.794929504394531e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,state}",4,0.8992217018817723,4,22,89,0,89,0.0002989768981933594
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,salary}",4,0.9999998792599425,21,5,15,11,4,9.703636169433594e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,single_exemp}",4,0.9497300713245109,10,16,63,1,62,0.0003457069396972656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,state}",4,0.9999876252933931,13,13,55,7,48,0.0003180503845214844
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary,single_exemp}",4,0.9497300713245109,10,16,63,1,62,0.0002760887145996094
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary,state}",4,0.9999876252933931,13,13,55,7,48,0.00029397010803222656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,single_exemp,state}",4,0.8992396174440722,4,22,81,0,81,0.00032901763916015625
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,salary}",4,0.9966144209463859,12,14,22,3,19,0.00011801719665527344
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,single_exemp}",4,0.0,6,20,0,0,0,6.985664367675781e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,state}",4,0.9116515207660179,6,20,89,0,89,0.0003299713134765625
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary,single_exemp}",4,0.0,6,20,0,0,0,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary,state}",4,0.9116515207660179,6,20,89,0,89,0.00030803680419921875
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,single_exemp,state}",4,0.0,6,20,0,0,0,7.581710815429688e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary,single_exemp}",4,0.9497300713245109,10,16,24,1,23,0.00010609626770019531
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary,state}",4,0.9999875570155988,17,9,19,7,12,0.0001010894775390625
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,single_exemp,state}",4,0.9116696245044189,6,20,81,0,81,0.0002880096435546875
tax,marital_status,1.0,1.0,8,26,"{area_code,salary,single_exemp,state}",4,0.9116696245044189,6,20,81,0,81,0.000270843505859375
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,rate}",4,0.9980115249249355,13,13,13,4,9,8.58306884765625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,salary}",4,0.9980115249249355,13,13,13,4,9,7.82012939453125e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,single_exemp}",4,0.0,3,23,0,0,0,4.696846008300781e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,married_exemp,state}",4,0.9485893796622411,8,18,24,1,23,0.00010204315185546875
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate,salary}",4,0.9999999816315241,20,6,13,13,0,4.982948303222656e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate,single_exemp}",4,0.9704802186671765,11,15,13,2,11,8.296966552734375e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,rate,state}",4,0.9999981354364993,17,9,17,9,8,9.441375732421875e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,salary,single_exemp}",4,0.9704802186671765,11,15,13,2,11,7.605552673339844e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,salary,state}",4,0.9999981354364993,17,9,17,9,8,8.893013000488281e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child,single_exemp,state}",4,0.9486098404942003,8,18,22,1,21,9.775161743164062e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate,salary}",4,0.9980115249249355,15,11,13,4,9,8.487701416015625e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate,single_exemp}",4,0.0,7,19,0,0,0,6.127357482910156e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,rate,state}",4,0.9485893796622411,8,18,69,1,68,0.0002460479736328125
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,salary,single_exemp}",4,0.0,7,19,0,0,0,5.91278076171875e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,salary,state}",4,0.9485893796622411,8,18,69,1,68,0.00023031234741210938
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp,single_exemp,state}",4,0.0,4,22,0,0,0,7.033348083496094e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,salary,single_exemp}",4,0.9704802186671765,13,13,13,2,11,8.296966552734375e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,salary,state}",4,0.9999981354364993,17,9,17,9,8,0.0001087188720703125
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate,single_exemp,state}",4,0.9486098404942003,8,18,61,1,60,0.0002319812774658203
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary,single_exemp,state}",4,0.9486098404942003,8,18,61,1,60,0.00021886825561523438
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate,salary}",4,0.9980115249249355,15,11,13,4,9,8.559226989746094e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate,single_exemp}",4,0.0,7,19,0,0,0,6.079673767089844e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,rate,state}",4,0.9485893796622411,8,18,69,1,68,0.000244140625
