epsilon,leakage,utility,mask_size
0.1,1.0,-0.8095238095238095,3
0.1,1.0,-0.7619047619047619,2
0.1,0.0,-0.2857142857142857,6
0.1,0.0,-0.33333333333333337,7
0.1,9.999778782798785e-13,-0.19047619047685715,4
0.1,1.0,-0.8095238095238095,3
0.1,1.0,-0.7619047619047619,2
0.1,0.0,-0.33333333333333337,7
0.1,0.0,-0.33333333333333337,7
0.1,0.0,-0.33333333333333337,7
0.1,0.0,-0.2857142857142857,6
0.1,1.0,-0.7619047619047619,2
0.1,1.0,-0.7619047619047619,2
0.1,1.0,-0.8571428571428571,4
0.1,1.0,-0.6666666666666666,0
0.1,0.0,-0.33333333333333337,7
0.1,0.0,-0.33333333333333337,7
0.1,0.0,-0.2857142857142857,6
0.1,0.0,-0.23809523809523814,5
0.1,1.0,-0.7619047619047619,2
0.1,9.999778782798785e-13,-0.2380952380959048,5
