-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.00864100456237793,0.0,0.0034050941467285156,0.0024330615997314453,1.0,-4.0,5,6,24,9748776,27
latitude_deg,0.011090993881225586,0.0,0.003392934799194336,0.00487208366394043,1.0,-5.5,20,9,24,9748776,27
latitude_deg,0.009715795516967773,0.0,0.0035772323608398438,0.0032749176025390625,1.0,-3.5,4,5,24,9748776,27
latitude_deg,0.00896310806274414,0.0,0.0036211013793945312,0.0025870800018310547,1.0,-3.0,0,4,24,9748776,27
latitude_deg,0.00897216796875,0.0,0.003361225128173828,0.0029180049896240234,1.0,-4.0,15,6,24,9748776,27
latitude_deg,0.009160041809082031,0.0,0.0034542083740234375,0.003047943115234375,1.0,-4.5,23,7,24,9748776,27
latitude_deg,0.009182929992675781,0.0,0.0035190582275390625,0.0030028820037841797,1.0,-3.0,14,4,24,9748776,27
latitude_deg,0.00925302505493164,0.0,0.003305196762084961,0.0032439231872558594,1.0,-5.0,23,8,24,9748776,27
latitude_deg,0.008927106857299805,0.0,0.003290891647338867,0.0030279159545898438,1.0,-5.5,22,9,24,9748776,27
latitude_deg,0.008607149124145508,0.0,0.0031630992889404297,0.0028810501098632812,1.0,-5.0,19,8,24,9748776,27
latitude_deg,0.008009910583496094,0.0,0.0031464099884033203,0.002315998077392578,1.0,-2.5,3,3,24,9748776,27
latitude_deg,0.009279966354370117,0.0,0.0032770633697509766,0.0034148693084716797,1.0,-4.5,21,7,24,9748776,27
latitude_deg,0.007862091064453125,0.0,0.0030837059020996094,0.002233266830444336,1.0,-3.0,1,4,24,9748776,27
latitude_deg,0.008523941040039062,0.0,0.0031709671020507812,0.002807140350341797,1.0,-4.0,14,6,24,9748776,27
latitude_deg,0.008183002471923828,0.0,0.0031249523162841797,0.0024750232696533203,1.0,-4.0,17,6,24,9748776,27
latitude_deg,0.008532047271728516,0.0,0.0031888484954833984,0.0026979446411132812,1.0,-3.0,6,4,24,9748776,27
latitude_deg,0.0086669921875,0.0,0.0032749176025390625,0.002719879150390625,1.0,-3.0,0,4,24,9748776,27
latitude_deg,0.00883626937866211,0.0,0.003238201141357422,0.0027017593383789062,1.0,-4.0,18,6,24,9748776,27
latitude_deg,0.009132862091064453,0.0,0.003343820571899414,0.0031468868255615234,0.0,-4.0,24,8,24,9748776,27
latitude_deg,0.009387016296386719,0.0,0.003434896469116211,0.0033762454986572266,1.0,-5.5,19,9,24,9748776,27
latitude_deg,0.00870823860168457,0.0,0.0032367706298828125,0.002873659133911133,1.0,-4.5,10,7,24,9748776,27
latitude_deg,0.008738040924072266,0.0,0.0032019615173339844,0.0029082298278808594,1.0,-4.0,11,6,24,9748776,27
