alpha,leakage,utility,mask_size
8,1.0,-9.5,3
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-9.0,2
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-9.5,3
8,1.0,-13.0,10
8,0.0,-3.5,7
8,0.0,-3.5,7
8,0.0,-3.0,6
8,1.0,-8.0,0
8,0.0,-3.5,7
8,9.999778782798785e-13,-2.000000000008,4
8,0.0,-3.0,6
8,9.999778782798785e-13,-3.000000000008,6
8,9.999778782798785e-13,-2.500000000008,5
8,0.0,-3.5,7
8,0.0,-5.0,10
8,1.0,-12.0,8
8,0.0,-4.5,9
8,0.0,-3.5,7
8,0.0,-5.0,10
8,1.0,-12.5,9
8,0.0,-5.0,10
8,0.0,-5.0,10
8,0.0,-1.0,2
8,0.0,-4.5,9
alpha,leakage,utility,mask_size
9,0.0,-5.0,10
9,0.0,-5.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,0.0,-5.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-12.5,7
9,1.0,-13.5,9
9,1.0,-10.5,3
9,1.0,-11.0,4
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-13.0,8
9,1.0,-13.5,9
9,1.0,-11.0,4
9,1.0,-11.5,5
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-14.0,10
9,1.0,-9.5,1
9,9.999778782798785e-13,-3.000000000009,6
9,9.999778782798785e-13,-2.500000000009,5
9,0.0,-3.5,7
9,0.0,-3.0,6
9,1.0,-9.5,1
9,0.0,-3.0,6
9,9.999778782798785e-13,-2.500000000009,5
9,0.0,-3.0,6
9,9.999778782798785e-13,-2.500000000009,5
9,0.0,-4.5,9
9,0.0,-5.0,10
9,0.0,-3.5,7
9,1.0,-13.5,9
9,1.0,-13.0,8
9,1.0,-9.0,0
9,1.0,-11.0,4
9,0.0,-3.0,6
9,1.0,-12.5,7
9,0.0,-4.5,9
alpha,leakage,utility,mask_size
10,1.0,-15.0,10
10,1.0,-10.0,0
10,0.0,-5.0,10
10,0.0,-5.0,10
10,0.0,-5.0,10
10,0.0,-5.0,10
10,1.0,-15.0,10
10,1.0,-11.5,3
10,0.0,-5.0,10
10,1.0,-12.5,5
10,1.0,-15.0,10
10,1.0,-12.0,4
10,1.0,-10.5,1
10,1.0,-11.0,2
10,1.0,-15.0,10
10,1.0,-14.0,8
10,1.0,-15.0,10
10,1.0,-13.0,6
10,1.0,-11.5,3
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-15.0,10
10,1.0,-11.5,3
10,1.0,-12.0,4
10,0.0,-3.0,6
10,0.0,-2.0,4
10,9.999778782798785e-13,-2.00000000001,4
10,0.0,-3.5,7
10,0.0,-3.0,6
10,9.999778782798785e-13,-3.00000000001,6
10,1.0,-10.5,1
10,1.0,-11.0,2
10,0.0,-4.5,9
10,0.0,-5.0,10
10,1.0,-11.5,3
10,1.0,-10.0,0
10,1.0,-13.0,6
10,0.0,-4.5,9
10,1.0,-12.0,4
10,0.0,-2.5,5
10,0.0,-4.5,9
10,0.0,-4.0,8
alpha,leakage,utility,mask_size
11,1.0,-14.5,7
11,0.0,-5.0,10
11,0.0,-5.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,0.0,-5.0,10
11,0.0,-5.0,10
11,1.0,-15.0,8
11,1.0,-15.5,9
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-14.0,6
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-13.0,4
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-15.5,9
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
