dataset,epsilon,L0,leakage,utility,mask_size
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.13514845205100667,-0.8461538461538461,11
flight,0.1,0.3,0.24980936013667854,-0.6153846153846154,8
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.06676260648713994,-0.8461538461538461,11
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.53846153846153,7
flight,0.1,0.3,0.8846850956852224,-100.6923076923077,9
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.17632192147614734,-0.38461538461538464,5
flight,0.1,0.3,0.13051054943857365,-0.6153846153846154,8
flight,0.1,0.3,0.18094116044347042,-0.38461538461538464,5
flight,0.1,0.3,0.9680567115073361,-100.53846153846153,7
flight,0.1,0.3,0.7615997542394806,-100.53846153846153,7
flight,0.1,0.3,0.13818569520024426,-0.46153846153846156,6
flight,0.1,0.3,0.9826408586840785,-100.61538461538461,8
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.7835724119593105,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.7637041577312637,-100.3076923076923,4
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.53846153846153,7
flight,0.1,0.3,0.9680567115073361,-100.53846153846153,7
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.23076923076923,3
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.6923076923077,9
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.23076923076923,3
flight,0.1,0.3,0.9826408586840785,-100.38461538461539,5
flight,0.1,0.3,0.11026315126094965,-0.6923076923076923,9
flight,0.1,0.3,0.1689864093151694,-0.46153846153846156,6
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.3076923076923,4
flight,0.1,0.3,0.06680017428701124,-0.6923076923076923,9
flight,0.1,0.3,0.9826408586840785,-100.3076923076923,4
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.17632192147614734,-0.3076923076923077,4
flight,0.1,0.3,0.7615997542394806,-100.46153846153847,6
flight,0.1,0.3,0.13818569520024426,-0.6923076923076923,9
flight,0.1,0.3,0.13051054943857365,-0.38461538461538464,5
flight,0.1,0.3,0.13051054943857365,-0.46153846153846156,6
flight,0.1,0.3,0.7615997542394806,-100.53846153846153,7
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.08907123541814055,-0.5384615384615384,7
flight,0.1,0.3,0.7835724119593105,-100.46153846153847,6
flight,0.1,0.3,0.0,-0.9230769230769231,12
flight,0.1,0.3,0.9826408586840785,-100.23076923076923,3
flight,0.1,0.3,0.7615997542394806,-100.38461538461539,5
flight,0.1,0.3,0.7637041577312637,-100.53846153846153,7
flight,0.1,0.3,0.9826408586840785,-100.38461538461539,5
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.08907123541814055,-0.6153846153846154,8
flight,0.1,0.3,0.16828933816592273,-0.5384615384615384,7
flight,0.1,0.3,0.7615997542394806,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.6923076923077,9
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.9826408586840785,-100.38461538461539,5
flight,0.1,0.3,0.9680567115073361,-100.61538461538461,8
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.13051054943857365,-0.6923076923076923,9
flight,0.1,0.3,0.7637041577312637,-100.3076923076923,4
flight,0.1,0.3,0.9680567115073361,-100.6923076923077,9
flight,0.1,0.3,0.24980936013667854,-0.38461538461538464,5
flight,0.1,0.3,0.7615997542394806,-100.53846153846153,7
flight,0.1,0.3,0.17632192147614734,-0.46153846153846156,6
flight,0.1,0.3,0.13818569520024426,-0.46153846153846156,6
flight,0.1,0.3,0.9826408586840785,-100.61538461538461,8
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.7637041577312637,-100.61538461538461,8
flight,0.1,0.3,0.7637041577312637,-100.61538461538461,8
flight,0.1,0.3,0.9826408586840785,-100.3076923076923,4
flight,0.1,0.3,0.18094116044347042,-0.6923076923076923,9
flight,0.1,0.3,0.13818569520024426,-0.7692307692307693,10
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.3076923076923,4
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.13818569520024426,-0.6153846153846154,8
flight,0.1,0.3,0.13818569520024426,-0.7692307692307693,10
flight,0.1,0.3,0.9680567115073361,-100.53846153846153,7
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.08907123541814055,-0.7692307692307693,10
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.9826408586840785,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.15384615384616,2
flight,0.1,0.3,0.7615997542394806,-100.46153846153847,6
flight,0.1,0.3,0.7637041577312637,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.9680567115073361,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.13818569520024426,-0.46153846153846156,6
flight,0.1,0.3,0.7637041577312637,-100.38461538461539,5
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.13818569520024426,-0.5384615384615384,7
flight,0.1,0.3,0.9680567115073361,-100.38461538461539,5
flight,0.1,0.3,0.7835724119593105,-100.46153846153847,6
flight,0.1,0.3,0.9680567115073361,-100.61538461538461,8
tax,0.1,0.3,0.5548418449270073,-100.33333333333333,1
tax,0.1,0.3,0.5548418449270073,-100.33333333333333,1
tax,0.1,0.3,0.5548418449270073,-100.0,0
tax,0.1,0.3,0.3057912208405609,-100.33333333333333,1
tax,0.1,0.3,0.5548418449270073,-100.66666666666667,2
tax,0.1,0.3,0.5548418449270073,-100.33333333333333,1
tax,0.1,0.3,0.3057912208405609,-100.33333333333333,1
tax,0.1,0.3,0.2290091161470067,-0.6666666666666666,2
tax,0.1,0.3,0.3057912208405609,-100.33333333333333,1
tax,0.1,0.3,0.2290091161470067,-0.6666666666666666,2
