dataset,lambda,leakage,utility,mask_size
adult,10,0.11471011146332122,-0.5,6
adult,10,0.14401198888757627,-0.5833333333333334,7
adult,10,0.35869848485078126,-10.333333333333334,4
adult,10,0.13005131046370022,-0.8333333333333334,10
adult,10,0.12964246975491212,-0.5,6
adult,10,0.2726821726489278,-0.4166666666666667,5
adult,10,0.11782852757561879,-0.5833333333333334,7
adult,10,0.14812295795010155,-0.25,3
adult,10,0.13936195358485004,-0.4166666666666667,5
adult,10,0.06484855025412084,-0.6666666666666666,8
adult,10,0.008839927559450844,-0.8333333333333334,10
adult,10,0.01063069202371647,-0.8333333333333334,10
adult,10,0.13936195358485004,-0.6666666666666666,8
adult,10,0.43561581086639223,-10.333333333333334,4
adult,10,0.15298681589336893,-0.3333333333333333,4
adult,10,0.0712854626843189,-0.6666666666666666,8
adult,10,0.02379751773919414,-0.6666666666666666,8
flight,10,0.1689864093151694,-0.6153846153846154,8
flight,10,0.9680567115073361,-10.384615384615385,5
flight,10,0.9826408586840785,-10.538461538461538,7
flight,10,0.9680567115073361,-10.384615384615385,5
flight,10,0.9680567115073361,-10.538461538461538,7
flight,10,0.08907123541814055,-0.5384615384615384,7
flight,10,0.7835724119593105,-10.307692307692308,4
flight,10,0.8846850956852224,-10.692307692307692,9
flight,10,0.8846850956852224,-10.76923076923077,10
flight,10,0.7637041577312637,-10.615384615384615,8
flight,10,0.7615997542394806,-10.538461538461538,7
flight,10,0.9680567115073361,-10.461538461538462,6
flight,10,0.7615997542394806,-10.384615384615385,5
flight,10,0.24980936013667854,-0.5384615384615384,7
flight,10,0.9826408586840785,-10.461538461538462,6
flight,10,0.7637041577312637,-10.384615384615385,5
flight,10,0.7615997542394806,-10.538461538461538,7
flight,10,0.9826408586840785,-10.307692307692308,4
flight,10,0.7637041577312637,-10.23076923076923,3
flight,10,0.9680567115073361,-10.615384615384615,8
flight,10,0.9826408586840785,-10.538461538461538,7
flight,10,0.9826408586840785,-10.384615384615385,5
flight,10,0.7615997542394806,-10.384615384615385,5
flight,10,0.18094116044347042,-0.46153846153846156,6
flight,10,0.13818569520024426,-0.38461538461538464,5
flight,10,0.7615997542394806,-10.461538461538462,6
flight,10,0.9826408586840785,-10.384615384615385,5
flight,10,0.1689864093151694,-0.6153846153846154,8
flight,10,0.9680567115073361,-10.461538461538462,6
flight,10,0.13818569520024426,-0.5384615384615384,7
flight,10,0.17632192147614734,-0.5384615384615384,7
flight,10,0.9826408586840785,-10.615384615384615,8
flight,10,0.9680567115073361,-10.692307692307692,9
flight,10,0.9680567115073361,-10.307692307692308,4
flight,10,0.11960338386169278,-0.8461538461538461,11
flight,10,0.9826408586840785,-10.538461538461538,7
flight,10,0.9826408586840785,-10.384615384615385,5
flight,10,0.13051054943857365,-0.5384615384615384,7
flight,10,0.9826408586840785,-10.384615384615385,5
flight,10,0.7615997542394806,-10.307692307692308,4
flight,10,0.7637041577312637,-10.307692307692308,4
flight,10,0.9826408586840785,-10.692307692307692,9
flight,10,0.13051054943857365,-0.46153846153846156,6
flight,10,0.7615997542394806,-10.538461538461538,7
flight,10,0.9680567115073361,-10.461538461538462,6
flight,10,0.7615997542394806,-10.461538461538462,6
flight,10,0.17632192147614734,-0.3076923076923077,4
flight,10,0.9680567115073361,-10.538461538461538,7
flight,10,0.9826408586840785,-10.538461538461538,7
flight,10,0.7615997542394806,-10.384615384615385,5
flight,10,0.9680567115073361,-10.615384615384615,8
flight,10,0.7835724119593105,-10.307692307692308,4
flight,10,0.7806898343893851,-10.615384615384615,8
flight,10,0.9680567115073361,-10.538461538461538,7
flight,10,0.9680567115073361,-10.692307692307692,9
flight,10,0.12744625720955838,-0.6923076923076923,9
flight,10,0.1689864093151694,-0.5384615384615384,7
flight,10,0.9826408586840785,-10.615384615384615,8
flight,10,0.9826408586840785,-10.384615384615385,5
flight,10,0.9826408586840785,-10.692307692307692,9
flight,10,0.7615997542394806,-10.307692307692308,4
flight,10,0.8846850956852224,-10.615384615384615,8
flight,10,0.8846850956852224,-10.76923076923077,10
flight,10,0.08907123541814055,-0.6153846153846154,8
flight,10,0.7637041577312637,-10.307692307692308,4
flight,10,0.9680567115073361,-10.615384615384615,8
flight,10,0.9826408586840785,-10.461538461538462,6
flight,10,0.9826408586840785,-10.307692307692308,4
flight,10,0.17632192147614734,-0.3076923076923077,4
flight,10,0.9826408586840785,-10.615384615384615,8
flight,10,0.7615997542394806,-10.615384615384615,8
flight,10,0.13818569520024426,-0.6153846153846154,8
flight,10,0.7637041577312637,-10.307692307692308,4
flight,10,0.7637041577312637,-10.615384615384615,8
flight,10,0.9680567115073361,-10.23076923076923,3
flight,10,0.13818569520024426,-0.6923076923076923,9
flight,10,0.17632192147614734,-0.46153846153846156,6
flight,10,0.7615997542394806,-10.307692307692308,4
flight,10,0.9826408586840785,-10.307692307692308,4
flight,10,0.9680567115073361,-10.307692307692308,4
flight,10,0.13514845205100667,-0.6153846153846154,8
flight,10,0.9826408586840785,-10.461538461538462,6
flight,10,0.13818569520024426,-0.5384615384615384,7
flight,10,0.13818569520024426,-0.46153846153846156,6
flight,10,0.9680567115073361,-10.153846153846153,2
flight,10,0.7637041577312637,-10.461538461538462,6
flight,10,0.1689864093151694,-0.6153846153846154,8
flight,10,0.9680567115073361,-10.461538461538462,6
flight,10,0.9826408586840785,-10.461538461538462,6
flight,10,0.2455785165522859,-0.46153846153846156,6
flight,10,0.9826408586840785,-10.384615384615385,5
flight,10,0.9680567115073361,-10.384615384615385,5
flight,10,0.1689864093151694,-0.46153846153846156,6
flight,10,0.17632192147614734,-0.46153846153846156,6
flight,10,0.9680567115073361,-10.615384615384615,8
flight,10,0.7615997542394806,-10.461538461538462,6
flight,10,0.9826408586840785,-10.461538461538462,6
flight,10,0.08907123541814055,-0.5384615384615384,7
flight,10,0.13051054943857365,-0.7692307692307693,10
