dataset,epsilon,leakage,utility,mask_size
adult,0.8,0.3542891463116872,-100.5,6
adult,0.8,0.07675883217932633,-0.4166666666666667,5
adult,0.8,0.14140239463489146,-0.5,6
adult,0.8,0.3176491522669148,-100.5,6
adult,0.8,0.07153766940792461,-0.5833333333333334,7
adult,0.8,0.19136135316976532,-0.5,6
adult,0.8,0.1052628956832925,-0.6666666666666666,8
adult,0.8,0.19959302122615685,-0.3333333333333333,4
adult,0.8,0.1286723566017356,-0.5,6
adult,0.8,0.0774344949388257,-0.4166666666666667,5
adult,0.8,0.2726821726489278,-0.16666666666666666,2
adult,0.8,0.07148902566174486,-0.6666666666666666,8
adult,0.8,0.07110883910875898,-0.5833333333333334,7
adult,0.8,0.40943748323194484,-100.33333333333333,4
adult,0.8,0.35872850870902895,-100.33333333333333,4
adult,0.8,0.013260940708343605,-0.6666666666666666,8
adult,0.8,0.07156978873337028,-0.5833333333333334,7
adult,0.8,0.2602038864131443,-0.3333333333333333,4
adult,0.8,0.2726821726489278,-0.4166666666666667,5
adult,0.8,0.12486866579692091,-0.5833333333333334,7
adult,0.8,0.10651596730398294,-0.3333333333333333,4
adult,0.8,0.08225993585699454,-0.6666666666666666,8
adult,0.8,0.11685727826445724,-0.5,6
adult,0.8,0.3301043526395674,-100.25,3
adult,0.8,0.17748630132113752,-0.5,6
adult,0.8,0.08164845343404958,-0.5833333333333334,7
adult,0.8,0.08129409482449701,-0.5833333333333334,7
adult,0.8,0.36200311006531793,-100.41666666666667,5
adult,0.8,0.14527314755706877,-0.5,6
adult,0.8,0.06787191711412988,-0.5,6
adult,0.8,0.330605692346426,-100.41666666666667,5
adult,0.8,0.06960705071649353,-0.4166666666666667,5
adult,0.8,0.35872850870902895,-100.41666666666667,5
adult,0.8,0.2619944952694371,-0.5,6
adult,0.8,0.11023352473050418,-0.5,6
adult,0.8,0.014480044582452667,-0.6666666666666666,8
adult,0.8,0.08225993585699454,-0.5833333333333334,7
adult,0.8,0.10972399658858745,-0.5,6
adult,0.8,0.0744644746040094,-0.75,9
adult,0.8,0.3206995367957376,-100.5,6
adult,0.8,0.07002897160401356,-0.5833333333333334,7
adult,0.8,0.19959302122615685,-0.4166666666666667,5
adult,0.8,0.10651596730398294,-0.5,6
