dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
49,t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayofMonth int EQUAL t1.DayofMonth int,3,100000,0,-1,0.0,0.0
50,t0.OriginStateName String UNEQUAL t1.OriginStateName String AND t0.Origin String EQUAL t1.Origin String,2,100000,94152,1,0.9985876550337053,0.7485876550337053
51,t0.OriginState String EQUAL t1.OriginState String AND t0.FlightDate String EQUAL t1.FlightDate String,2,100000,0,-1,0.0,0.0
52,t0.Carrier String EQUAL t1.Carrier String AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.OriginWac int EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
53,t0.Month int LESS t1.Month int AND t0.OriginAirportID int GREATER_EQUAL t1.OriginAirportID int,2,100000,0,-1,0.0,0.0
54,t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.DayofMonth int EQUAL t1.DayofMonth int,3,100000,0,-1,0.0,0.0
55,t0.DayOfWeek int LESS_EQUAL t1.DayOfWeek int AND t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.Origin String EQUAL t1.Origin String,3,100000,0,-1,0.0,0.0
56,t0.OriginCityName String UNEQUAL t1.OriginCityName String AND t0.OriginWac int EQUAL t1.OriginWac int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
57,t0.OriginCityName String EQUAL t1.OriginCityName String AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayofMonth int GREATER_EQUAL t1.DayofMonth int,3,100000,0,-1,0.0,0.0
58,t0.OriginStateFips int UNEQUAL t1.OriginStateFips int AND t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int,3,100000,47138,1,0.9998868925414138,0.7498868925414138
59,t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.Origin String EQUAL t1.Origin String,2,100000,0,-1,0.0,0.0
60,t0.Carrier String EQUAL t1.Carrier String AND t0.FlightDate String EQUAL t1.FlightDate String,2,100000,0,-1,0.0,0.0
61,t0.OriginAirportID int UNEQUAL t1.OriginAirportID int AND t0.OriginWac int EQUAL t1.OriginWac int AND t0.AirlineID int EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
62,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.AirlineID int GREATER_EQUAL t1.AirlineID int AND t0.Month int UNEQUAL t1.Month int,3,100000,0,-1,0.0,0.0
63,t0.OriginWac int UNEQUAL t1.OriginWac int AND t0.OriginCityName String EQUAL t1.OriginCityName String,2,100000,94152,1,0.9987543927254147,0.7487543927254147
64,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginCityName String EQUAL t1.OriginCityName String AND t0.FlightNum int LESS_EQUAL t1.FlightNum int,3,100000,0,-1,0.0,0.0
65,t0.OriginState String EQUAL t1.OriginState String AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.AirlineID int EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
66,t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.AirlineID int LESS t1.AirlineID int AND t0.OriginWac int EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
67,t0.Carrier String EQUAL t1.Carrier String AND t0.Origin String EQUAL t1.Origin String,2,100000,0,-1,0.0,0.0
68,t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int,3,100000,0,-1,0.0,0.0
69,t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.OriginAirportSeqID int UNEQUAL t1.OriginAirportSeqID int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
70,t0.OriginAirportSeqID int EQUAL t1.OriginAirportSeqID int AND t0.OriginStateFips int UNEQUAL t1.OriginStateFips int,2,100000,94152,0,0.9985876550337053,0.7485876550337053
71,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
72,t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.OriginAirportID int GREATER_EQUAL t1.OriginAirportID int,3,100000,0,-1,0.0,0.0
73,t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.OriginCityMarketID int GREATER_EQUAL t1.OriginCityMarketID int,3,100000,0,-1,0.0,0.0
74,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.Origin String EQUAL t1.Origin String AND t0.DayOfWeek int GREATER_EQUAL t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
75,t0.FlightDate String EQUAL t1.FlightDate String AND t0.Month int UNEQUAL t1.Month int,2,100000,0,-1,0.0,0.0
76,t0.OriginCityName String EQUAL t1.OriginCityName String AND t0.FlightDate String EQUAL t1.FlightDate String,2,100000,0,-1,0.0,0.0
77,t0.OriginAirportSeqID int UNEQUAL t1.OriginAirportSeqID int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
78,t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.OriginWac int GREATER_EQUAL t1.OriginWac int AND t0.Month int UNEQUAL t1.Month int,3,100000,0,-1,0.0,0.0
79,t0.OriginWac int LESS_EQUAL t1.OriginWac int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.Month int UNEQUAL t1.Month int,3,100000,0,-1,0.0,0.0
80,t0.OriginState String EQUAL t1.OriginState String AND t0.Carrier String EQUAL t1.Carrier String AND t0.OriginAirportSeqID int UNEQUAL t1.OriginAirportSeqID int,3,100000,0,-1,0.0,0.0
81,t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.OriginWac int EQUAL t1.OriginWac int AND t0.OriginAirportID int LESS t1.OriginAirportID int,3,100000,0,-1,0.0,0.0
82,t0.FlightDate String EQUAL t1.FlightDate String AND t0.DayOfWeek int UNEQUAL t1.DayOfWeek int,2,100000,85704,0,0.9989564174519646,0.7489564174519646
83,t0.OriginAirportID int UNEQUAL t1.OriginAirportID int AND t0.OriginWac int EQUAL t1.OriginWac int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
84,t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.OriginWac int GREATER_EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
85,t0.Origin String UNEQUAL t1.Origin String AND t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.AirlineID int EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
86,t0.Month int LESS t1.Month int AND t0.OriginStateFips int GREATER_EQUAL t1.OriginStateFips int,2,100000,0,-1,0.0,0.0
87,t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,2,100000,0,-1,0.0,0.0
88,t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.OriginWac int EQUAL t1.OriginWac int AND t0.OriginAirportID int LESS t1.OriginAirportID int,3,100000,25003,1,0.34321637445905584,0.09321637445905584
89,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
90,t0.OriginAirportSeqID int EQUAL t1.OriginAirportSeqID int AND t0.OriginCityName String UNEQUAL t1.OriginCityName String,2,100000,97615,0,0.9986377581434951,0.7486377581434951
91,t0.OriginCityName String EQUAL t1.OriginCityName String AND t0.OriginAirportSeqID int UNEQUAL t1.OriginAirportSeqID int,2,100000,97892,0,0.8646251582141591,0.6146251582141591
92,t0.OriginStateFips int UNEQUAL t1.OriginStateFips int AND t0.Origin String EQUAL t1.Origin String,2,100000,94152,1,0.9985876550337053,0.7485876550337053
93,t0.OriginStateFips int LESS_EQUAL t1.OriginStateFips int AND t0.Month int LESS t1.Month int,2,100000,0,-1,0.0,0.0
94,t0.OriginState String EQUAL t1.OriginState String AND t0.Origin String UNEQUAL t1.Origin String AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
95,t0.DayOfWeek int LESS t1.DayOfWeek int AND t0.Origin String EQUAL t1.Origin String,2,100000,0,-1,0.0,0.0
