-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.04911994934082031,0.01223301887512207,0.034934043884277344,0.0018830299377441406,0.0,120,15,120,17350,15
latitude_deg,0.04876279830932617,0.01178598403930664,0.03488898277282715,0.0020189285278320312,0.0,120,15,120,17350,15
latitude_deg,0.04871702194213867,0.011710882186889648,0.03484916687011719,0.002090930938720703,0.0,120,15,120,17350,15
latitude_deg,0.051284074783325195,0.012707233428955078,0.03615427017211914,0.002329587936401367,0.0,120,15,120,17350,15
latitude_deg,0.05231308937072754,0.012231111526489258,0.03538179397583008,0.004626274108886719,0.0,120,15,120,17350,15
latitude_deg,0.04871082305908203,0.011790752410888672,0.03495001792907715,0.0019009113311767578,0.0,120,15,120,17350,15
latitude_deg,0.05274534225463867,0.012385129928588867,0.03487682342529297,0.005417346954345703,0.0,120,15,120,17350,15
latitude_deg,0.04946613311767578,0.012293100357055664,0.03510093688964844,0.002009868621826172,0.0,120,15,120,17350,15
latitude_deg,0.051828861236572266,0.011956930160522461,0.03480386734008789,0.005007266998291016,0.0,120,15,120,17350,15
latitude_deg,0.05062127113342285,0.012964248657226562,0.03563809394836426,0.0019507408142089844,0.0,120,15,120,17350,15
latitude_deg,0.055151939392089844,0.012479066848754883,0.03513598442077637,0.007467985153198242,0.0,120,15,120,17350,15
latitude_deg,0.04899191856384277,0.011667966842651367,0.03520679473876953,0.00205230712890625,0.0,120,15,120,17350,15
latitude_deg,0.0517878532409668,0.011668920516967773,0.03475618362426758,0.00529789924621582,0.0,120,15,120,17350,15
latitude_deg,0.05444192886352539,0.012220144271850586,0.03598475456237793,0.006150960922241211,0.0,120,15,120,17350,15
latitude_deg,0.054354190826416016,0.012079238891601562,0.0351710319519043,0.007030010223388672,0.0,120,15,120,17350,15
latitude_deg,0.04820609092712402,0.011961221694946289,0.03477597236633301,0.0014040470123291016,0.0,120,15,120,17350,15
latitude_deg,0.05287313461303711,0.011815071105957031,0.03492903709411621,0.006065845489501953,0.0,120,15,120,17350,15
latitude_deg,0.04828190803527832,0.011799812316894531,0.034477949142456055,0.0019381046295166016,0.0,120,15,120,17350,15
latitude_deg,0.07108592987060547,0.012331962585449219,0.034741878509521484,0.023953914642333984,0.0,120,15,120,17350,15
latitude_deg,0.04773306846618652,0.011587858200073242,0.03426384925842285,0.0017800331115722656,0.0,120,15,120,17350,15
latitude_deg,0.0498049259185791,0.012974023818969727,0.034767866134643555,0.0019981861114501953,0.0,120,15,120,17350,15
latitude_deg,0.04972481727600098,0.01270294189453125,0.03502702713012695,0.0019309520721435547,0.0,120,15,120,17350,15
latitude_deg,0.05214881896972656,0.012563943862915039,0.03512072563171387,0.004406452178955078,0.0,120,15,120,17350,15
latitude_deg,0.054885149002075195,0.012113332748413086,0.03597521781921387,0.006716489791870117,0.0,120,15,120,17350,15
latitude_deg,0.054648637771606445,0.01252293586730957,0.0349431037902832,0.007110118865966797,0.0,120,15,120,17350,15
latitude_deg,0.04869413375854492,0.012212038040161133,0.03449892997741699,0.0019190311431884766,0.0,120,15,120,17350,15
latitude_deg,0.04918694496154785,0.01225590705871582,0.03483390808105469,0.002034902572631836,0.0,120,15,120,17350,15
