-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.23466944694519043,7.081031799316406e-05,0.228057861328125,0.006540775299072266,0.999936,-4.499936,7,24,17157680,14
latitude_deg,0.2377159595489502,7.390975952148438e-05,0.23270606994628906,0.0049359798431396484,0.9999999999999896,-2.9999999999999893,4,24,17157680,14
latitude_deg,0.23400497436523438,6.914138793945312e-05,0.22890090942382812,0.005034923553466797,0.96,-3.96,6,24,17157680,14
latitude_deg,0.23657989501953125,6.866455078125e-05,0.22979021072387695,0.006721019744873047,0.9999872,-4.4999872,7,24,17157680,14
latitude_deg,0.2418661117553711,6.890296936035156e-05,0.23227214813232422,0.009525060653686523,0.0,-4.5,9,24,17157680,14
latitude_deg,0.23831653594970703,6.29425048828125e-05,0.23188567161560059,0.006367921829223633,0.9999999991808,-4.4999999991808,7,24,17157680,14
latitude_deg,0.2378389835357666,7.009506225585938e-05,0.23261284828186035,0.005156040191650391,1.0,-2.5,3,24,17157680,14
latitude_deg,0.23818635940551758,7.033348083496094e-05,0.23348402976989746,0.004631996154785156,0.999999999967232,-3.499999999967232,5,24,17157680,14
latitude_deg,0.23325490951538086,6.866455078125e-05,0.2276620864868164,0.005524158477783203,0.999936,-3.999936,6,24,17157680,14
latitude_deg,0.24849891662597656,6.604194641113281e-05,0.2418520450592041,0.006580829620361328,0.99999744,-4.99999744,8,24,17157680,14
latitude_deg,0.2381889820098877,6.4849853515625e-05,0.23198509216308594,0.006139039993286133,0.9999998976,-3.4999998976,5,24,17157680,14
latitude_deg,0.23914074897766113,6.604194641113281e-05,0.23179173469543457,0.00728297233581543,0.0,-4.0,8,24,17157680,14
latitude_deg,0.23645997047424316,6.103515625e-05,0.23135805130004883,0.005040884017944336,0.9999998976,-2.9999998976,4,24,17157680,14
latitude_deg,0.24130821228027344,6.318092346191406e-05,0.23450803756713867,0.0067369937896728516,0.9999872,-4.9999872,8,24,17157680,14
latitude_deg,0.2372908592224121,6.604194641113281e-05,0.2314748764038086,0.005749940872192383,0.999999488,-3.9999994880000003,6,24,17157680,14
latitude_deg,0.24023699760437012,7.295608520507812e-05,0.23305392265319824,0.007110118865966797,0.99999999983616,-3.99999999983616,6,24,17157680,14
latitude_deg,0.24107003211975098,6.4849853515625e-05,0.23512816429138184,0.005877017974853516,0.999999995904,-3.999999995904,6,24,17157680,14
latitude_deg,0.25241589546203613,6.914138793945312e-05,0.24538683891296387,0.0069599151611328125,0.999936,-4.999936,8,24,17157680,14
latitude_deg,0.23838114738464355,7.176399230957031e-05,0.23285317420959473,0.005456209182739258,0.9999998976,-4.4999998976,7,24,17157680,14
latitude_deg,0.23593473434448242,6.079673767089844e-05,0.23040986061096191,0.005464076995849609,0.9984,-4.4984,7,24,17157680,14
latitude_deg,0.23593926429748535,7.295608520507812e-05,0.230241060256958,0.005625247955322266,0.9999998976,-3.4999998976,5,24,17157680,14
latitude_deg,0.2401752471923828,6.723403930664062e-05,0.23548388481140137,0.004624128341674805,0.999999488,-4.499999488,7,24,17157680,14
latitude_deg,0.2518324851989746,6.29425048828125e-05,0.2465527057647705,0.005216836929321289,0.9999999991808,-3.4999999991808,5,24,17157680,14
latitude_deg,0.2330632209777832,6.389617919921875e-05,0.22804617881774902,0.004953145980834961,1.0,-2.5,3,24,17157680,14
latitude_deg,0.23564791679382324,6.985664367675781e-05,0.22882509231567383,0.006752967834472656,0.9984,-4.9984,8,24,17157680,14
latitude_deg,0.2456066608428955,7.319450378417969e-05,0.23865079879760742,0.006882667541503906,0.99968,-4.49968,7,24,17157680,14
latitude_deg,0.2345743179321289,7.557868957519531e-05,0.22879981994628906,0.0056989192962646484,0.9999999999999979,-2.999999999999998,4,24,17157680,14
latitude_deg,0.23568105697631836,7.414817810058594e-05,0.2303330898284912,0.0052738189697265625,0.9999999999997379,-2.999999999999738,4,24,17157680,14
latitude_deg,0.23682594299316406,7.200241088867188e-05,0.23048901557922363,0.006264925003051758,0.9999872,-4.4999872,7,24,17157680,14
latitude_deg,0.23582220077514648,7.915496826171875e-05,0.22939801216125488,0.006345033645629883,0.0,-4.5,9,24,17157680,14
latitude_deg,0.23766660690307617,7.200241088867188e-05,0.2308177947998047,0.0067768096923828125,0.9999872,-3.9999872,6,24,17157680,14
latitude_deg,0.23628878593444824,6.508827209472656e-05,0.2303447723388672,0.005878925323486328,0.999999995904,-3.999999995904,6,24,17157680,14
latitude_deg,0.24028396606445312,6.508827209472656e-05,0.23503589630126953,0.005182981491088867,0.999999995904,-3.499999995904,5,24,17157680,14
latitude_deg,0.23542523384094238,7.104873657226562e-05,0.23001599311828613,0.005338191986083984,0.992,-4.992,8,24,17157680,14
latitude_deg,0.2476508617401123,6.4849853515625e-05,0.24043583869934082,0.007150173187255859,0.96,-5.96,10,24,17157680,14
latitude_deg,0.2390749454498291,8.296966552734375e-05,0.2332911491394043,0.005700826644897461,0.99968,-4.49968,7,24,17157680,14
latitude_deg,0.23750686645507812,6.29425048828125e-05,0.23081517219543457,0.006628751754760742,0.999936,-4.999936,8,24,17157680,14
latitude_deg,0.23660016059875488,7.510185241699219e-05,0.22965407371520996,0.00687098503112793,0.8,-5.3,9,24,17157680,14
latitude_deg,0.23468399047851562,6.508827209472656e-05,0.2300128936767578,0.004606008529663086,0.9999999999999896,-2.9999999999999893,4,24,17157680,14
latitude_deg,0.23295807838439941,8.130073547363281e-05,0.22746872901916504,0.005408048629760742,0.999999999967232,-3.499999999967232,5,24,17157680,14
latitude_deg,0.24062895774841309,7.200241088867188e-05,0.23380398750305176,0.006752967834472656,0.8,-5.3,9,24,17157680,14
latitude_deg,0.23767352104187012,6.985664367675781e-05,0.23151373863220215,0.006089925765991211,0.99999744,-4.49999744,7,24,17157680,14
