method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delexp,hospital,ProviderNumber,0.07496094703674316,0.004331111907958984,0.06712698936462402,0.0,0.0035028457641601562,0.3437887963028171,-0.49007621633322673,9,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07596302032470703,0.0037441253662109375,0.06825494766235352,0.0,0.003963947296142578,0.34485757236969355,-0.4451560589121195,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07371020317077637,0.003637075424194336,0.06622695922851562,0.0,0.0038461685180664062,0.3434139858035505,-0.4898888110835934,9,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07530689239501953,0.003760099411010742,0.06763076782226562,0.0,0.003916025161743164,0.3689529805287003,-0.45720376299162285,8,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07405710220336914,0.0037729740142822266,0.0670468807220459,0.0,0.0032372474670410156,0.4713602395353259,-0.5538619379494811,7,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07509183883666992,0.003981828689575195,0.0661468505859375,0.0,0.0049631595611572266,0.2544994747303757,-0.44543155554700603,10,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07501411437988281,0.003779172897338867,0.0679159164428711,0.0,0.0033190250396728516,0.42149250103647523,-0.4380189777909649,8,5,13,1046040,13,1
delexp,hospital,ProviderNumber,0.07450175285339355,0.003604888916015625,0.06679892539978027,0.0,0.004097938537597656,0.34485757236969355,-0.4451560589121195,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07448959350585938,0.004027843475341797,0.06685209274291992,0.0,0.0036096572875976562,0.3447426424566633,-0.44509859395560436,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07480478286743164,0.003810882568359375,0.06748795509338379,0.0,0.0035059452056884766,0.33053104756341345,-0.4834473419635249,9,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07643914222717285,0.005101203918457031,0.06799483299255371,0.0,0.0033431053161621094,0.42149250103647523,-0.4380189777909649,8,5,13,1046040,13,1
delexp,hospital,ProviderNumber,0.07385706901550293,0.0035660266876220703,0.06585216522216797,0.0,0.004438877105712891,0.2544994747303757,-0.44543155554700603,10,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07566690444946289,0.003551006317138672,0.06785798072814941,0.0,0.004257917404174805,0.33180410656286036,-0.43862932600870286,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.08119869232177734,0.0035576820373535156,0.06679415702819824,0.0,0.010846853256225586,0.33180410656286036,-0.43862932600870286,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07568907737731934,0.003712177276611328,0.06730198860168457,0.0,0.0046749114990234375,0.3447426424566633,-0.44509859395560436,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.08347010612487793,0.003438711166381836,0.06760215759277344,0.0,0.012429237365722656,0.3689529805287003,-0.45720376299162285,8,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07601308822631836,0.004174232482910156,0.06710290908813477,0.0,0.0047359466552734375,0.34485757236969355,-0.4451560589121195,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07412338256835938,0.004247188568115234,0.06685400009155273,0.0,0.0030221939086914062,0.2662062333723729,-0.4967394803225501,10,8,13,1046256,13,1
delexp,hospital,ProviderNumber,0.07459807395935059,0.004130125045776367,0.06736588478088379,0.0,0.0031020641326904297,0.4928930906267145,-0.5646283634951754,7,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.07504796981811523,0.0036530494689941406,0.06727290153503418,0.0,0.004122018814086914,0.42149250103647523,-0.4380189777909649,8,5,13,1046040,13,1
delexp,hospital,ProviderNumber,0.08201289176940918,0.005135774612426758,0.07302713394165039,0.0,0.0038499832153320312,0.42005601624141237,-0.4827552808479789,8,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.07750630378723145,0.0037860870361328125,0.06929516792297363,0.0,0.004425048828125,0.3447426424566633,-0.44509859395560436,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.08433318138122559,0.0040819644927978516,0.07578325271606445,0.0,0.004467964172363281,0.3689529805287003,-0.45720376299162285,8,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.08239126205444336,0.005644083023071289,0.07264089584350586,0.0,0.004106283187866211,0.3418944070366654,-0.5800381126092418,9,9,13,1046328,13,1
delexp,hospital,ProviderNumber,0.08735895156860352,0.004348039627075195,0.0756368637084961,0.0,0.0073740482330322266,0.42149250103647523,-0.4380189777909649,8,5,13,1046040,13,1
delexp,Onlineretail,InvoiceNo,0.01279592514038086,0.0054531097412109375,0.0035598278045654297,0.0,0.003782987594604492,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.009505748748779297,0.003757953643798828,0.0028820037841796875,0.0,0.0028657913208007812,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.010247468948364258,0.004049777984619141,0.0028569698333740234,0.0,0.0033407211303710938,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.009554862976074219,0.0036339759826660156,0.0035271644592285156,0.0,0.0023937225341796875,0.0,-0.35714285714285715,11,5,11,64300,8,1
delexp,Onlineretail,InvoiceNo,0.010553121566772461,0.003983259201049805,0.0035507678985595703,0.0,0.003019094467163086,0.0,-0.35714285714285715,11,5,11,64300,8,1
delexp,Onlineretail,InvoiceNo,0.009675025939941406,0.003590106964111328,0.0031249523162841797,0.0,0.0029599666595458984,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.011272907257080078,0.003673076629638672,0.004667758941650391,0.0,0.0029320716857910156,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.015217781066894531,0.0073888301849365234,0.005095958709716797,0.0,0.002732992172241211,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.017767667770385742,0.008695840835571289,0.00662994384765625,0.0,0.002441883087158203,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.019169092178344727,0.009356975555419922,0.006331920623779297,0.0,0.003480195999145508,0.0,-0.2857142857142857,11,4,11,64228,8,1
delexp,Onlineretail,InvoiceNo,0.01428985595703125,0.005793094635009766,0.005164623260498047,0.0,0.0033321380615234375,0.0,-0.2857142857142857,11,4,11,64228,8,1
delexp,Onlineretail,InvoiceNo,0.014402151107788086,0.007062196731567383,0.00516819953918457,0.0,0.002171754837036133,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.01677680015563965,0.008023738861083984,0.005908012390136719,0.0,0.0028450489044189453,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.016290903091430664,0.00704503059387207,0.006414890289306641,0.0,0.002830982208251953,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.016878604888916016,0.00894474983215332,0.004503011703491211,0.0,0.0034308433532714844,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.014120817184448242,0.0066339969635009766,0.005375862121582031,0.0,0.0021109580993652344,0.0,-0.2857142857142857,11,4,11,64228,8,1
delexp,Onlineretail,InvoiceNo,0.01838517189025879,0.009755134582519531,0.005686044692993164,0.0,0.0029439926147460938,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.018664836883544922,0.009344100952148438,0.006531715393066406,0.0,0.002789020538330078,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.014883995056152344,0.006707906723022461,0.005558013916015625,0.0,0.002618074417114258,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.015482902526855469,0.007124185562133789,0.0053288936614990234,0.0,0.0030298233032226562,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.016437530517578125,0.008704185485839844,0.005151271820068359,0.0,0.002582073211669922,0.0,-0.21428571428571427,11,3,11,64156,8,1
delexp,Onlineretail,InvoiceNo,0.01896190643310547,0.00896000862121582,0.00674891471862793,0.0,0.0032529830932617188,0.0,-0.21428571428571427,11,3,11,64156,8,1
