-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.14873003959655762,0.000102996826171875,0.1430521011352539,0.005574941635131836,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15073108673095703,0.00010013580322265625,0.14467787742614746,0.005953073501586914,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15086126327514648,0.0001049041748046875,0.14473724365234375,0.006019115447998047,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1493229866027832,9.822845458984375e-05,0.1432356834411621,0.00598907470703125,0.0,-2.0,4,24,17157680,14
latitude_deg,0.15432024002075195,0.00010228157043457031,0.14548397064208984,0.008733987808227539,0.0,-5.5,11,24,17157680,14
latitude_deg,0.1503288745880127,0.00010013580322265625,0.14302682876586914,0.0072019100189208984,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15356183052062988,9.775161743164062e-05,0.14599013328552246,0.007473945617675781,0.0,-4.5,9,24,17157680,14
latitude_deg,0.1492626667022705,9.608268737792969e-05,0.14316320419311523,0.006003379821777344,0.0,-4.0,8,24,17157680,14
latitude_deg,0.15072131156921387,0.00011706352233886719,0.1452791690826416,0.0053250789642333984,0.0,-1.0,2,24,17157680,14
latitude_deg,0.14820146560668945,0.00010395050048828125,0.14173269271850586,0.0063648223876953125,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1478261947631836,9.894371032714844e-05,0.14151501655578613,0.0062122344970703125,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15192437171936035,9.226799011230469e-05,0.14332079887390137,0.00851130485534668,0.0,-3.5,7,24,17157680,14
latitude_deg,0.14847517013549805,0.0001010894775390625,0.14023923873901367,0.008134841918945312,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1487255096435547,9.894371032714844e-05,0.1424548625946045,0.006171703338623047,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15004706382751465,0.00010204315185546875,0.1436011791229248,0.006343841552734375,0.0,-3.0,6,24,17157680,14
latitude_deg,0.14841389656066895,9.298324584960938e-05,0.1419050693511963,0.006415843963623047,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1706540584564209,0.000102996826171875,0.16367292404174805,0.0068781375885009766,0.0,-1.5,3,24,17157680,14
latitude_deg,0.1488652229309082,0.00010013580322265625,0.14108014106750488,0.007684946060180664,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1519775390625,9.393692016601562e-05,0.14757299423217773,0.00431060791015625,0.0,-0.5,1,24,17157680,14
latitude_deg,0.15433216094970703,0.00010609626770019531,0.1461191177368164,0.00810694694519043,0.0,-3.5,7,24,17157680,14
latitude_deg,0.15274548530578613,0.00010919570922851562,0.14632391929626465,0.006312370300292969,0.0,-2.5,5,24,17157680,14
latitude_deg,0.14994406700134277,9.989738464355469e-05,0.14244508743286133,0.007399082183837891,0.0,-3.0,6,24,17157680,14
latitude_deg,0.152360200881958,0.0001010894775390625,0.14590692520141602,0.00635218620300293,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15123391151428223,0.00010275840759277344,0.14410805702209473,0.0070230960845947266,0.0,-3.0,6,24,17157680,14
