-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,paths_blocked,mask_size,num_paths,memory_overhead_bytes
latitude_deg,0.07644081115722656,0.018488168716430664,0.05509305000305176,0.0027697086334228516,0.0,24,15,24,17350
latitude_deg,0.07580208778381348,0.018146038055419922,0.054570913314819336,0.0029692649841308594,0.0,24,15,24,17350
latitude_deg,0.0784609317779541,0.01964592933654785,0.05602002143859863,0.0026819705963134766,0.0,24,15,24,17350
latitude_deg,0.0759580135345459,0.0189511775970459,0.05427193641662598,0.0026361942291259766,0.0,24,15,24,17350
latitude_deg,0.09845495223999023,0.018616199493408203,0.05519509315490723,0.02454686164855957,0.0,24,15,24,17350
latitude_deg,0.06994795799255371,0.015547990798950195,0.051474809646606445,0.0028052330017089844,0.0,24,15,24,17350
latitude_deg,0.07768607139587402,0.019166231155395508,0.05530691146850586,0.003076314926147461,0.0,24,15,24,17350
latitude_deg,0.07699108123779297,0.01880192756652832,0.05478787422180176,0.003282308578491211,0.0,24,15,24,17350
latitude_deg,0.07801008224487305,0.01802515983581543,0.05613899230957031,0.003731966018676758,0.0,24,15,24,17350
latitude_deg,0.0770120620727539,0.018619298934936523,0.055376291275024414,0.0028905868530273438,0.0,24,15,24,17350
latitude_deg,0.07566475868225098,0.018434762954711914,0.05431413650512695,0.0028257369995117188,0.0,24,15,24,17350
latitude_deg,0.07487988471984863,0.018042802810668945,0.054003000259399414,0.0027370452880859375,0.0,24,15,24,17350
latitude_deg,0.08775925636291504,0.018499135971069336,0.0662679672241211,0.0028769969940185547,0.0,24,15,24,17350
latitude_deg,0.0771331787109375,0.01865220069885254,0.05476021766662598,0.003620624542236328,0.0,24,15,24,17350
latitude_deg,0.07630205154418945,0.0186612606048584,0.054611921310424805,0.002933025360107422,0.0,24,15,24,17350
latitude_deg,0.07560014724731445,0.01827716827392578,0.05428028106689453,0.002938508987426758,0.0,24,15,24,17350
latitude_deg,0.07674288749694824,0.017913818359375,0.0559999942779541,0.002717256546020508,0.0,24,15,24,17350
latitude_deg,0.07694101333618164,0.018321990966796875,0.0550687313079834,0.003452301025390625,0.0,24,15,24,17350
latitude_deg,0.07531094551086426,0.018125057220458984,0.05452084541320801,0.002577066421508789,0.0,24,15,24,17350
latitude_deg,0.07497191429138184,0.017781972885131836,0.05428814888000488,0.0027937889099121094,0.0,24,15,24,17350
latitude_deg,0.0755469799041748,0.018271923065185547,0.054162025451660156,0.003011941909790039,0.0,24,15,24,17350
latitude_deg,0.07568573951721191,0.01782703399658203,0.05492210388183594,0.002841949462890625,0.0,24,15,24,17350
latitude_deg,0.07664704322814941,0.018415212631225586,0.05516219139099121,0.0029616355895996094,0.0,24,15,24,17350
latitude_deg,0.07527494430541992,0.017898082733154297,0.05454897880554199,0.0027370452880859375,0.0,24,15,24,17350
latitude_deg,0.07595705986022949,0.017683982849121094,0.055230140686035156,0.0029358863830566406,0.0,24,15,24,17350
latitude_deg,0.07590198516845703,0.01851487159729004,0.054576873779296875,0.0027132034301757812,0.0,24,15,24,17350
latitude_deg,0.07758879661560059,0.018270015716552734,0.05633211135864258,0.002855062484741211,0.0,24,15,24,17350
latitude_deg,0.07550501823425293,0.017925024032592773,0.05446290969848633,0.0030090808868408203,0.0,24,15,24,17350
latitude_deg,0.07870817184448242,0.018397808074951172,0.05703091621398926,0.0031621456146240234,0.0,24,15,24,17350
latitude_deg,0.07951998710632324,0.019408226013183594,0.056874990463256836,0.0030977725982666016,0.0,24,15,24,17350
latitude_deg,0.07701992988586426,0.018563032150268555,0.054826974868774414,0.003529071807861328,0.0,24,15,24,17350
