-----airport-----
attribute,total_time,num_explanations,cells_deleted,max_depth,memory_bytes,init_time,model_time,del_time
latitude_deg,0.07749319076538086,22,15,1,300,0.0545201301574707,0.0008637905120849609,0.0021457672119140625
latitude_deg,0.07595396041870117,22,15,1,300,0.053363800048828125,0.0008401870727539062,0.0016369819641113281
latitude_deg,0.08051204681396484,22,15,1,300,0.05685091018676758,0.0008461475372314453,0.0026700496673583984
latitude_deg,0.0772249698638916,22,15,1,300,0.053906917572021484,0.0008132457733154297,0.002177000045776367
latitude_deg,0.0763390064239502,22,15,1,300,0.053324222564697266,0.0008687973022460938,0.0021491050720214844
latitude_deg,0.07731819152832031,22,15,1,300,0.05411219596862793,0.0008330345153808594,0.0021581649780273438
latitude_deg,0.07676005363464355,22,15,1,300,0.05314302444458008,0.0008511543273925781,0.0025222301483154297
latitude_deg,0.0776209831237793,22,15,1,300,0.055361032485961914,0.0008831024169921875,0.0019860267639160156
latitude_deg,0.07617688179016113,22,15,1,300,0.05330514907836914,0.0008678436279296875,0.0021567344665527344
latitude_deg,0.07744002342224121,22,15,1,300,0.05473184585571289,0.0008261203765869141,0.0018460750579833984
latitude_deg,0.07852816581726074,22,15,1,300,0.055169105529785156,0.0008437633514404297,0.001992940902709961
latitude_deg,0.07846403121948242,22,15,1,300,0.05491185188293457,0.0008442401885986328,0.0017728805541992188
latitude_deg,0.07677292823791504,22,15,1,300,0.05390787124633789,0.0008642673492431641,0.002061128616333008
latitude_deg,0.08172297477722168,22,15,1,300,0.058554887771606445,0.0009291172027587891,0.0024187564849853516
latitude_deg,0.08618283271789551,22,15,1,300,0.06221508979797363,0.0008988380432128906,0.0023679733276367188
latitude_deg,0.07987022399902344,22,15,1,300,0.05729103088378906,0.0008730888366699219,0.002086162567138672
latitude_deg,0.08142995834350586,22,15,1,300,0.05634808540344238,0.0010728836059570312,0.0022439956665039062
latitude_deg,0.07527875900268555,22,15,1,300,0.05226898193359375,0.0010619163513183594,0.0017406940460205078
latitude_deg,0.07655596733093262,22,15,1,300,0.05398988723754883,0.0009760856628417969,0.003522634506225586
latitude_deg,0.08217787742614746,22,15,1,300,0.05808401107788086,0.0009720325469970703,0.0027298927307128906
latitude_deg,0.07631707191467285,22,15,1,300,0.052696943283081055,0.0009870529174804688,0.001958131790161133
latitude_deg,0.07998085021972656,22,15,1,300,0.05750584602355957,0.0009860992431640625,0.0018768310546875
latitude_deg,0.08210992813110352,22,15,1,300,0.05837893486022949,0.000904083251953125,0.0018498897552490234
latitude_deg,0.08348798751831055,22,15,1,300,0.05683779716491699,0.0009493827819824219,0.004477024078369141
latitude_deg,0.07978010177612305,22,15,1,300,0.056886911392211914,0.0009839534759521484,0.001981973648071289
latitude_deg,0.08193278312683105,22,15,1,300,0.0591578483581543,0.0009443759918212891,0.0021729469299316406
latitude_deg,0.07830190658569336,22,15,1,300,0.054586172103881836,0.0009090900421142578,0.0022161006927490234
latitude_deg,0.08067011833190918,22,15,1,300,0.05670022964477539,0.00095367431640625,0.0027420520782470703
latitude_deg,0.08105301856994629,22,15,1,300,0.05744624137878418,0.0009658336639404297,0.0022110939025878906
latitude_deg,0.08014941215515137,22,15,1,300,0.05671191215515137,0.000885009765625,0.0021691322326660156
latitude_deg,0.07875800132751465,22,15,1,300,0.0564579963684082,0.0009760856628417969,0.0018596649169921875
