beta,leakage,utility,mask_size
4.0,1.0,-0.5,0
4.0,1.0,-4.5,1
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-4.5,1
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
beta,leakage,utility,mask_size
4.5,1.0,-0.5,0
4.5,1.0,-5.0,1
4.5,1.0,-0.5,0
4.5,1.0,-9.5,2
4.5,1.0,-0.5,0
4.5,1.0,-9.5,2
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-5.0,1
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-5.0,1
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-5.0,1
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-5.0,1
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-5.0,1
4.5,1.0,-5.0,1
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
4.5,1.0,-0.5,0
beta,leakage,utility,mask_size
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
