-----airport-----
attribute,total_time,num_constraints,cells_deleted,memory_bytes,init_time,model_time,del_time
latitude_deg,0.01977705955505371,40,15,7887,1,0.016946077346801758,2.7894973754882812e-05,0.0019910335540771484
latitude_deg,0.02024984359741211,40,15,7887,1,0.01750802993774414,2.6941299438476562e-05,0.001873016357421875
latitude_deg,0.025664091110229492,40,15,7887,1,0.022731781005859375,3.314018249511719e-05,0.0020227432250976562
latitude_deg,0.022116899490356445,40,15,7887,1,0.01946091651916504,3.62396240234375e-05,0.0018999576568603516
latitude_deg,0.020933866500854492,40,15,7887,1,0.01809215545654297,3.790855407714844e-05,0.001966714859008789
latitude_deg,0.020400285720825195,40,15,7887,1,0.017520904541015625,3.0040740966796875e-05,0.0019571781158447266
latitude_deg,0.019648075103759766,40,15,7887,1,0.01689291000366211,3.0994415283203125e-05,0.0019021034240722656
latitude_deg,0.020385026931762695,40,15,7887,1,0.017748117446899414,3.1948089599609375e-05,0.0016732215881347656
latitude_deg,0.020885229110717773,40,15,7887,1,0.0178680419921875,2.9087066650390625e-05,0.002048015594482422
latitude_deg,0.04287004470825195,40,15,7887,1,0.03930807113647461,5.2928924560546875e-05,0.0025396347045898438
latitude_deg,0.021455049514770508,40,15,7887,1,0.018557071685791016,3.4809112548828125e-05,0.0019898414611816406
latitude_deg,0.020353078842163086,40,15,7887,1,0.017606019973754883,2.8133392333984375e-05,0.001840829849243164
latitude_deg,0.02108478546142578,40,15,7887,1,0.018093109130859375,3.2901763916015625e-05,0.002113819122314453
latitude_deg,0.02162790298461914,40,15,7887,1,0.0186769962310791,3.409385681152344e-05,0.0019328594207763672
latitude_deg,0.02179694175720215,40,15,7887,1,0.018873929977416992,3.910064697265625e-05,0.0020470619201660156
latitude_deg,0.020627975463867188,40,15,7887,1,0.01776599884033203,3.314018249511719e-05,0.0019478797912597656
latitude_deg,0.04144883155822754,40,15,7887,1,0.017580032348632812,3.504753112792969e-05,0.02306509017944336
latitude_deg,0.017277956008911133,40,15,7887,1,0.014950990676879883,3.600120544433594e-05,0.0016398429870605469
