-----airport-----
attribute,time,row,cells
download_month,0.004941225051879883,985,3
name_suffix,0.006719112396240234,781,5
first_name,0.0059659481048583984,776,4
download_month,0.0050427913665771484,894,3
birth_place,0.00483393669128418,339,3
full_phone_num,0.005301952362060547,458,3
download_month,0.004856109619140625,417,3
name_prefix,0.007060050964355469,738,5
age,0.014708995819091797,447,8
register_date,0.010313987731933594,882,8
full_phone_num,0.00503087043762207,791,3
name_prefix,0.006701231002807617,649,5
voter_id,0.015554189682006836,96,14
age,0.013084888458251953,431,8
birth_place,0.0054378509521484375,667,3
first_name,0.005712747573852539,98,4
voter_reg_num,0.016031980514526367,237,14
name_suffix,0.00800323486328125,337,5
first_name,0.006191253662109375,945,4
race,0.006097316741943359,515,4
birth_place,0.004989147186279297,56,3
name_prefix,0.0072629451751708984,27,5
birth_place,0.0052947998046875,896,3
ethnic,0.006258249282836914,737,4
city,0.008436918258666992,765,6
street_address,0.016209125518798828,858,14
birth_place,0.005919933319091797,452,3
full_phone_num,0.005339145660400391,517,3
name_prefix,0.008244991302490234,18,5
download_month,0.005552768707275391,521,3
last_name,0.010475873947143555,461,8
voter_reg_num,0.015811920166015625,675,14
street_address,0.016982078552246094,585,14
age,0.012969970703125,593,8
name_suffix,0.006915092468261719,358,5
register_date,0.009971857070922852,482,8
download_month,0.0055768489837646484,296,3
state,0.0032351016998291016,485,1
city,0.007831096649169922,810,6
gender,0.005122184753417969,685,3
full_phone_num,0.00551605224609375,13,3
full_phone_num,0.00561213493347168,833,3
city,0.008230924606323242,241,6
first_name,0.006892204284667969,305,4
name_suffix,0.007033824920654297,281,5
age,0.012164115905761719,377,8
name_prefix,0.006947994232177734,356,5
ethnic,0.005921125411987305,110,4
voter_id,0.015755176544189453,391,14
first_name,0.006262779235839844,457,4
state,0.002995014190673828,558,1
city,0.00797581672668457,635,6
state,0.0030260086059570312,803,1
birth_place,0.005021095275878906,599,3
voter_id,0.01543879508972168,710,14
city,0.008203983306884766,171,6
register_date,0.009788751602172852,965,8
download_month,0.005007743835449219,162,3
middle_name,0.008327960968017578,260,6
download_month,0.005596160888671875,640,3
city,0.008209943771362305,20,6
voter_id,0.015324831008911133,946,14
ethnic,0.006066799163818359,183,4
full_phone_num,0.005084037780761719,206,3
city,0.008044958114624023,656,6
voter_id,0.015739917755126953,804,14
zip_code,0.008150100708007812,26,6
street_address,0.015903949737548828,95,14
voter_reg_num,0.015395879745483398,397,14
last_name,0.00991201400756836,336,8
name_suffix,0.007186174392700195,918,5
birth_place,0.0059049129486083984,660,3
last_name,0.01009678840637207,512,8
voter_id,0.015400886535644531,938,14
download_month,0.0053942203521728516,306,3
register_date,0.00988006591796875,596,8
full_phone_num,0.005095005035400391,405,3
register_date,0.00972604751586914,947,8
download_month,0.004888772964477539,81,3
gender,0.0058939456939697266,962,3
gender,0.005020856857299805,267,3
city,0.008045196533203125,103,6
name_suffix,0.007215023040771484,467,5
voter_reg_num,0.015652894973754883,501,14
age,0.012806892395019531,800,8
city,0.0084991455078125,209,6
name_prefix,0.0071260929107666016,80,5
ethnic,0.00625300407409668,543,4
age,0.012588977813720703,940,8
birth_place,0.005347013473510742,974,3
street_address,0.015519142150878906,343,14
zip_code,0.008200883865356445,853,6
register_date,0.009911060333251953,282,8
-----tax-----
attribute,time,row,cells
marital_status,0.21218276023864746,88217,6
phone,0.21678805351257324,78471,6
phone,0.21429824829101562,73929,6
zip,0.3883519172668457,27915,11
rate,0.1789858341217041,89450,5
fname,0.1115870475769043,62130,3
rate,0.18103694915771484,70570,5
gender,0.0786139965057373,41679,2
rate,0.18327975273132324,64251,5
state,0.35027194023132324,49448,10
salary,0.18265700340270996,86136,5
married_exemp,1.1431291103363037,83761,6
gender,0.07669377326965332,36302,2
marital_status,0.21787190437316895,90801,6
lname,0.07626080513000488,46614,2
city,0.11060500144958496,93716,3
has_child,0.17548298835754395,40506,5
zip,0.38043999671936035,18393,11
city,0.11087489128112793,14248,3
