method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,adult,education,0.03307700157165527,0.003965854644775391,0.026684999465942383,0.0024261474609375,0.49122554744404323,Unnamed: 21,-1000.0,7,0,2858,12,epsilon_m,L0
marginal_em,adult,education,0.021963357925415,0.0013372898101806,0.0181398391723632,0.002486228942871,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0226650238037109,0.0013949871063232,0.0186929702758789,0.0025770664215087,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.022505760192871,0.0013806819915771,0.0184440612792968,0.002681016921997,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.022153615951538,0.0013580322265625,0.0182747840881347,0.0025207996368408,0.0,,-12.0,7,12,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225358009338378,0.0013430118560791,0.0181608200073242,0.0030319690704345,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0233047008514404,0.0016446113586425,0.0188112258911132,0.0028488636016845,0.141854762675785,,-1003.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.022066593170166,0.0013527870178222,0.0181708335876464,0.0025429725646972,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0227274894714355,0.0013356208801269,0.0181550979614257,0.0032367706298828,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220546722412109,0.0013468265533447,0.0181570053100585,0.0025508403778076,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225396156311035,0.0013680458068847,0.0183906555175781,0.0027809143066406,0.0623400217666499,,-5.0,7,5,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222952365875244,0.0013561248779296,0.0181717872619628,0.0027673244476318,0.141854762675785,,-1003.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0219757556915283,0.0013399124145507,0.0181388854980468,0.0024969577789306,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220859050750732,0.0013420581817626,0.0181829929351806,0.0025608539581298,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225872993469238,0.001357078552246,0.0183281898498535,0.0029020309448242,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0226151943206787,0.0013520717620849,0.0183541774749755,0.0029089450836181,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.022538423538208,0.0013589859008789,0.0182480812072753,0.0029313564300537,0.2673304963584648,,-1002.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0229151248931884,0.0013990402221679,0.0190529823303222,0.0024631023406982,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0233008861541748,0.0014309883117675,0.0190520286560058,0.0028178691864013,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0228760242462158,0.001392126083374,0.0184030532836914,0.0030808448791503,0.3038956650102904,,-1.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0236201286315917,0.0014340877532958,0.019521951675415,0.0026640892028808,0.141854762675785,,-3.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0263559818267822,0.0014340877532958,0.0211451053619384,0.0037767887115478,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0624012947082519,0.0017652511596679,0.054560899734497,0.0060751438140869,0.141854762675785,,-3.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0332968235015869,0.0020620822906494,0.027606725692749,0.0036280155181884,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.030501365661621,0.0018041133880615,0.0227091312408447,0.0059881210327148,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0242340564727783,0.0017170906066894,0.0201740264892578,0.002342939376831,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.024040937423706,0.0014381408691406,0.0194048881530761,0.0031979084014892,0.141854762675785,,-3.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0234546661376953,0.0015437602996826,0.0193049907684326,0.00260591506958,0.141854762675785,,-3.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.6
