method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,tax,city,0.003271818161010742,0.0003707408905029297,0.0003771781921386719,0.0025238990783691406,0.0,Unnamed: 21,-3.0,1,3,201,3.1,epsilon_m,L0
marginal_em,tax,city,0.0048470497131347,0.0004010200500488,0.0006251335144042,0.0038208961486816,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048747062683105,0.0003719329833984,0.0007998943328857,0.0037028789520263,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.005599021911621,0.000633955001831,0.0008440017700195,0.0041210651397705,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0056972503662109,0.0006489753723144,0.0008242130279541,0.0042240619659423,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0075619220733642,0.0007543563842773,0.0008108615875244,0.0059967041015625,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.005887746810913,0.0003731250762939,0.0005807876586914,0.0049338340759277,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0054230690002441,0.0007939338684082,0.0008552074432373,0.0037739276885986,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0064930915832519,0.0003261566162109,0.0005247592926025,0.0056421756744384,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0040647983551025,0.0005769729614257,0.0006859302520751,0.0028018951416015,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048189163208007,0.000586986541748,0.0009689331054687,0.0032629966735839,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048623085021972,0.0003561973571777,0.0007359981536865,0.003770112991333,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.003490924835205,0.0003421306610107,0.0005278587341308,0.0026209354400634,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048308372497558,0.0006020069122314,0.0008158683776855,0.0034129619598388,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048449039459228,0.0006117820739746,0.0008120536804199,0.0034210681915283,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0062301158905029,0.0004560947418212,0.0006148815155029,0.0051591396331787,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0042352676391601,0.0004098415374755,0.0006752014160156,0.0031502246856689,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050079822540283,0.0006599426269531,0.0008120536804199,0.0035359859466552,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050830841064453,0.0006189346313476,0.0008690357208251,0.0035951137542724,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0045709609985351,0.000525951385498,0.0005779266357421,0.0034670829772949,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0055978298187255,0.0003929138183593,0.0005638599395751,0.004641056060791,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0079936981201171,0.0005068778991699,0.0013980865478515,0.0060887336730957,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0051071643829345,0.0006759166717529,0.0010302066802978,0.0034010410308837,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
