method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,hospital,ProviderNumber,0.027265071868896484,0.0014500617980957031,0.023368120193481445,0.002446889877319336,0.0001443939775050973,Unnamed: 21,-9.0,4,9,1823,10,epsilon_m,L0
marginal_em,hospital,ProviderNumber,0.0136849880218505,0.0005030632019042,0.0112698078155517,0.0019121170043945,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142016410827636,0.0005080699920654,0.0116417407989501,0.002051830291748,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144109725952148,0.0005288124084472,0.0118310451507568,0.0020511150360107,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0188648700714111,0.0005490779876708,0.0164177417755126,0.0018980503082275,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0170249938964843,0.0005390644073486,0.0141048431396484,0.0023810863494873,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.016528844833374,0.0005438327789306,0.0135731697082519,0.0024118423461914,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0151612758636474,0.0005121231079101,0.0127091407775878,0.0019400119781494,0.0,,-10.0,4,10,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0153775215148925,0.0005271434783935,0.0122251510620117,0.0026252269744873,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0152561664581298,0.000554084777832,0.0126240253448486,0.0020780563354492,0.0,,-10.0,4,10,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0136647224426269,0.0005319118499755,0.0114719867706298,0.0016608238220214,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0143361091613769,0.000525951385498,0.0117671489715576,0.0020430088043212,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0135672092437744,0.0004909038543701,0.0115752220153808,0.0015010833740234,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0135738849639892,0.0005290508270263,0.0114569664001464,0.0015878677368164,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.014380931854248,0.0005078315734863,0.0122601985931396,0.001612901687622,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0136659145355224,0.0005080699920654,0.0114049911499023,0.0017528533935546,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0133900642395019,0.000493049621582,0.011650800704956,0.0012462139129638,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0137841701507568,0.0005230903625488,0.01145601272583,0.0018050670623779,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0137748718261718,0.0005300045013427,0.01149582862854,0.001749038696289,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0143158435821533,0.0005266666412353,0.0116353034973144,0.0021538734436035,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0141987800598144,0.0005278587341308,0.0115609169006347,0.0021100044250488,0.0,,-10.0,4,10,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.014470100402832,0.000554084777832,0.0116770267486572,0.0022389888763427,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0142230987548828,0.0005319118499755,0.0114800930023193,0.0022110939025878,0.0,,-10.0,4,10,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0141758918762207,0.0005097389221191,0.011451244354248,0.0022149085998535,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.013951301574707,0.0005340576171875,0.011672019958496,0.0017452239990234,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0145001411437988,0.0005018711090087,0.0117592811584472,0.0022389888763427,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0145680904388427,0.0005333423614501,0.0116968154907226,0.0023379325866699,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
